Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Giles Farnaby | Farnaby, Giles  | 1990577 | 1500 | inglese
Gabriel Fauré | Fauré, Gabriel  | 217309 | 1900 | francese
Antonio Favaro | Favaro, Antonio  | 23712 | 1800 | italiano
Tommaso Fazello | Fazello, Tommaso  | 1317955 | 1500 | italiano
Camillo Federici | Federici, Camillo  | 1372732 | 1700 | italiano
Alfonso Ferrabosco | Ferrabosco, Alfonso  | 6793530 | -1 | Non pervenuta
Carlotta Ferrari | Ferrari, Carlotta  | 2693396 | 1800 | italiana
Giuseppe Ferrari | Ferrari, Giuseppe  | 3862505 | -1 | Non pervenuta
Paolo Ferrari | Ferrari, Paolo  | 1721169 | -1 | Non pervenuta
Pietro Ferrari | Ferrari, Pietro  | 4395113 | -1 | Non pervenuta
Severino Ferrari | Ferrari, Severino  | 2212340 | 1800 | italiano
Francisco Ferrer Guardia | Ferrer Guardia, Francisco  | 24476 | -1 | spagnolo
Guglielmo Ferrero | Ferrero, Guglielmo  | 742361 | 1800 | italiano
Jacopo Ferretti | Ferretti, Jacopo  | 1328129 | 1800 | italiano
Dina Ferri | Ferri, Dina  | 1606226 | 1900 | italiana
Enrico Ferri | Ferri, Enrico  | 1143188 | -1 | Non pervenuta
Luca Ferrieri | Ferrieri, Luca  | 4822291 | -1 | italiano
Zdeněk Fibich | Fibich, Zdeněk  | 1253465 | -1 | ceco
Vera Figner | Figner, Vera  | 1166885 | -1 | Non pervenuta
Bruno Filippi | Filippi, Bruno  | 2688748 | 1900 | italiano
Walter Fillak | Fillak, Walter  | 543033 | 1900 | italiano
Valentino Fioravanti | Fioravanti, Valentino  | 585491 | 1700 | italiano
Giuliana Fiorentino | Fiorentino, Giuliana  | 4797355 | 2000 | italiana
Vittorio Fiorini | Fiorini, Vittorio  | 1925489 | 1800 | italiano
Camille Flammarion | Flammarion, Camille  | 339069 | 1800 | francese
Gustave Flaubert | Flaubert, Gustave  | 25033 | 1800 | francese
John Fletcher | Fletcher, John  | 1354621 | -1 | inglese
Marianna Florenzi Waddington | Florenzi Waddington, Marianna  | 5586171 | -1 | Non pervenuta
John Florio | Florio, John  | 3740496 | -1 | Non pervenuta
Antonio Fogazzaro | Fogazzaro, Antonio  | 336 | 1800 | italiano
Folgore da San Gimignano | Folgore da San Gimignano  | 48676 | -1 | Non pervenuta
Ferdinando Fontana | Fontana, Ferdinando  | 343245 | 1800 | italiano
Carlo Formichi | Formichi, Carlo  | 4034687 | -1 | italiano
Alberto Fortis | Fortis, Alberto  | 38500 | -1 | italiano
Ugo Foscolo | Foscolo, Ugo  | 2218160 | 1700 | italiano
Umberto Fracchia | Fracchia, Umberto  | 1479030 | 1900 | italiano
Anatole France | France, Anatole  | 17800 | 1800 | francese
Leopoldo Franchetti | Franchetti, Leopoldo  | 605946 | 1800 | italiano
César Franck | Franck, César  | 89611 | 1800 | belga
Veronica Franco | Franco, Veronica  | 599275 | 1500 | italiana
Sigmund Freud | Freud, Sigmund  | 2126430 | -1 | austriaco
Federico Frezzi | Frezzi, Federico  | 525146 | 1300 | italiano
Francesco Fulvio Frugoni | Frugoni, Francesco Fulvio  | 4211615 | 1600 | italiano
Giuseppe Gabrieli | Gabrieli, Giuseppe  | 3288677 | 1800 | italiano
Ferdinando Galiani | Galiani, Ferdinando  | 452307 | -1 | italiano
Galileo Galilei | Galilei, Galileo  | 296384 | -1 | Non pervenuta
Luigi Galleani | Galleani, Luigi  | 1439697 | -1 | italiano
Galleria Palatina | Galleria Palatina  | 403159 | -1 | Non pervenuta
Giacinto Gallina | Gallina, Giacinto  | 2087640 | 1800 | italiano
Agostino Gallo | Gallo, Agostino  | 836297 | -1 | Non pervenuta
Antonio Gamberi | Gamberi, Antonio  | 1290274 | 1800 | italiano
Giuseppe Garibaldi | Garibaldi, Giuseppe  | 2176751 | -1 | italiano
Théophile Gautier | Gautier, Théophile  | 435273 | 1800 | francese
Giovanni Gentile | Gentile, Giovanni  | 76824 | 1900 | italiano
Agostino Gerli | Gerli, Agostino  | 4399255 | 1700 | italiano
George Gershwin | Gershwin, George  | 47663 | 1900 | statunitense
Carlo Gervasoni | Gervasoni, Carlo  | 3013852 | -1 | italiano
Antonio Ghislanzoni | Ghislanzoni, Antonio  | 477196 | 1800 | italiano
Arcangelo Ghisleri | Ghisleri, Arcangelo  | 99292 | 1800 | italiano
Paolo Giacometti | Giacometti, Paolo  | 23962 | 1800 | italiano
Giuseppe Giacosa | Giacosa, Giuseppe  | 56747 | 1900 | italiano
Bono Giamboni | Giamboni, Bono  | 64483 | 1200 | italiano
Giulio Gianelli | Gianelli, Giulio  | 5590667 | 1900 | italiano
Pietro Giannone | Giannone, Pietro  | 604497 | 1700 | italiano
Edward Gibbon | Gibbon, Edward  | 234520 | 1700 | inglese
Pietro Gibellini | Gibellini, Pietro  | 4146869 | 1900 | italiano
Enrico Giglioli | Giglioli, Enrico  | 3063564 | 1800 | italiano
Jean Gilles | Gilles, Jean  | 1592590 | -1 | francese
Leone Ginzburg | Ginzburg, Leone  | 475851 | 1900 | italiano
Vincenzo Gioberti | Gioberti, Vincenzo  | 114594 | 1800 | italiano
Giovanni Giolitti | Giolitti, Giovanni  | 710762 | 1800 | italiano
Arturo Giovannitti | Giovannitti, Arturo  | 248891 | 1900 | italiano
Giovanni Giraud | Giraud, Giovanni  | 1328156 | 1800 | italiano
Jean Giraudoux | Giraudoux, Jean  | 219943 | 1900 | francese
Edoardo Giretti | Giretti, Edoardo  | 666444 | 1800 | italiano
Giuseppe Giusti | Giusti, Giuseppe  | 226755 | 1800 | italiano
Aleksandr Konstantinovič Glazunov | Glazunov, Aleksandr Konstantinovič  | 385585 | 1900 | russo
Michail Ivanovič Glinka | Glinka, Michail Ivanovič  | 441850 | 1800 | russo
Christoph Willibald Gluck | Gluck, Christoph Willibald  | 693964 | 1700 | tedesco
Piero Gobetti | Gobetti, Piero  | 56868 | 1900 | italiano
Nikolaj Vasilevič Gogol | Gogol, Nikolaj Vasilevič  | 5752944 | -1 | Non pervenuta
Carlo Goldoni | Goldoni, Carlo  | 711248 | 1700 | italiano
Camillo Golgi | Golgi, Camillo  | 104242 | -1 | Non pervenuta
Antônio Carlos Gomes | Gomes, Antônio Carlos  | 1857224 | 1800 | brasiliano
Pietro Gori | Gori, Pietro  | 88759 | 1800 | italiano
Guido Gozzano | Gozzano, Guido  | 279367 | 1900 | italiano
Carlo Gozzi | Gozzi, Carlo  | 6906303 | -1 | Non pervenuta
Gasparo Gozzi | Gozzi, Gasparo  | 456659 | 1700 | italiano
Arturo Graf | Graf, Arturo  | 652869 | 1800 | italiano
Antonio Gramsci | Gramsci, Antonio  | 101624 | -1 | Non pervenuta
Enrique Granados | Granados, Enrique  | 284433 | -1 | spagnolo
Luigi Grande | Grande, Luigi  | 1610396 | 1900 | italiano
Achille Grandi | Grandi, Achille  | 639003 | 1900 | italiano
Alessandro Grandi | Grandi, Alessandro  | 2031111 | 1600 | italiano
Francesco Grasso | Grasso, Francesco  | 1939743 | 1900 | italiano
Thomas Gray | Gray, Thomas  | 204607 | 1700 | inglese
Augusto Graziani | Graziani, Augusto  | 4001059 | 1900 | italiano
Ferdinand Gregorovius | Gregorovius, Ferdinand  | 222321 | 1800 | tedesco
Edvard Grieg | Grieg, Edvard  | 221699 | -1 | norvegese
Giulio Grimaldi | Grimaldi, Giulio  | 4326558 | 1900 | italiano
Jakob Grimm | Grimm, Jakob  | 2965669 | -1 | Non pervenuta
Wilhelm Grimm | Grimm, Wilhelm  | 435719 | 1800 | tedesco
Tommaso Grossi | Grossi, Tommaso  | 103982 | 1800 | italiano
Vincenzo Grossi | Grossi, Vincenzo  | 1779332 | -1 | italiano
Luigi Groto | Groto, Luigi  | 3788467 | 1500 | italiano
André Ernest Modeste Grétry | Grétry, André Ernest Modeste  | 2541138 | -1 | Non pervenuta
Antonio Guadagnoli | Guadagnoli, Antonio  | 2142151 | 1800 | italiano
Luigi Gualdo | Gualdo, Luigi  | 2005031 | 1800 | italiano
Icilio Guareschi | Guareschi, Icilio  | 1595890 | 1800 | italiano
Battista Guarini | Guarini, Battista  | 1216086 | 1500 | italiano
Francesco Domenico Guerrazzi | Guerrazzi, Francesco Domenico  | 404647 | 1800 | italiano
Amalia Guglielminetti | Guglielminetti, Amalia  | 1295582 | 1900 | italiana
Alberto Guglielmotti | Guglielmotti, Alberto  | 2725073 | 1800 | italiano
Francesco Guicciardini | Guicciardini, Francesco  | 746138 | 1500 | italiano
Michelangelo Guidi | Guidi, Michelangelo  | 2979913 | 1900 | italiano
Giovanni Guidiccioni | Guidiccioni, Giovanni  | 921347 | 1500 | italiano
Veronica Gàmbara | Gàmbara, Veronica  | 6874430 | -1 | Non pervenuta
Gerhart Hauptmann | Hauptmann, Gerhart  | 322370 | 1800 | tedesco
Nathaniel Hawthorne | Hawthorne, Nathaniel  | 15229 | 1800 | statunitense
Franz Joseph Haydn | Haydn, Franz Joseph  | 219130 | 1700 | austriaco
John Frederick William Herschel | Herschel, John Frederick William  | 83082 | -1 | Non pervenuta
Anthony Holborne | Holborne, Anthony  | 3238384 | 1500 | inglese
Gustav Holst | Holst, Gustav  | 552271 | -1 | inglese
Jenö Hubay | Hubay, Jenö  | 4815830 | -1 | Non pervenuta
Victor Hugo | Hugo, Victor  | 14134 | 1800 | francese
Engelbert Humperdinck | Humperdinck, Engelbert  | 1602711 | 1800 | tedesco
Georg Friedrich Händel | Händel, Georg Friedrich  | 2363856 | -1 | tedesco
Carlo Iberti | Iberti, Carlo  | 4464650 | 1800 | italiano
Henrik Ibsen | Ibsen, Henrik  | 2412715 | -1 | norvegese
Vittorio Imbriani | Imbriani, Vittorio  | 70495 | 1800 | italiano
Giovanni Filippo Ingrassia | Ingrassia, Giovanni Filippo  | 3205821 | -1 | Non pervenuta
Prospero Intorcetta | Intorcetta, Prospero  | 2272745 | 1600 | italiano
Carolina Invernizio | Invernizio, Carolina  | 9518 | 1800 | italiana
Arturo Issel | Issel, Arturo  | 1962292 | 1800 | italiano
Italia | Italia  | 2340360 | -1 | Non pervenuta
Leóš Janáček | Janáček, Leóš  | 3986203 | -1 | Non pervenuta
Blind Lemon Jefferson | Jefferson, Blind Lemon  | 2549874 | -1 | statunitense
Lina Arianna Jenna | Jenna, Lina Arianna  | 2319157 | 1900 | italiana
Jerome K. Jerome | Jerome, Jerome K.  | 71187 | 1800 | britannico
Robert Johnson | Johnson, Robert  | 80218 | 1900 | statunitense
Scott Joplin | Joplin, Scott  | 350525 | 1800 | statunitense
Erminio Juvalta | Juvalta, Erminio  | 3036524 | -1 | Non pervenuta
Margit Kaffka | Kaffka, Margit  | 2077783 | 1900 | ungherese
Kalevala | Kalevala  | 35928 | -1 | Non pervenuta
Immanuel Kant | Kant, Immanuel  | 1488881 | -1 | Non pervenuta
Alphonse Karr | Karr, Alphonse  | 715011 | 1800 | francese
John Maynard Keynes | Keynes, John Maynard  | 2443 | -1 | britannico
Rudyard Kipling | Kipling, Rudyard  | 70697 | 1800 | britannico
Pëtr Alekseevič Kropotkin | Kropotkin, Pëtr Alekseevič  | 96515 | 1800 | russo
Antonio Labriola | Labriola, Antonio  | 312251 | 1800 | italiano
Selma Lagerlöf | Lagerlöf, Selma  | 343528 | -1 | svedese
Édouard Lalo | Lalo, Édouard  | 615853 | 1800 | francese
Lao Tzu | Lao Tzu  | 27554 | -1 | Non pervenuta
Laser | Laser  | 1709357 | -1 | Non pervenuta
Brunetto Latini | Latini, Brunetto  | 41514 | 1200 | italiano
Johann Caspar Lavater | Lavater, Johann Caspar  | 1253626 | -1 | Non pervenuta
David Herbert Lawrence | Lawrence, David Herbert  | 309924 | 1900 | inglese
Giovanni Francesco Lazzarelli | Lazzarelli, Giovanni Francesco  | 2271950 | 1600 | italiano
David Lazzaretti | Lazzaretti, David  | 666882 | -1 | Non pervenuta
Ruggero Leoncavallo | Leoncavallo, Ruggero  | 305994 | 1800 | italiano
Giacomo Leopardi | Leopardi, Giacomo  | 2320384 | 1800 | italiano
Giuseppe Lesca | Lesca, Giuseppe  | 4799780 | -1 | italiano
Lawrence Lessig | Lessig, Lawrence  | 851720 | 2000 | statunitense
Michele Lessona | Lessona, Michele  | 1701982 | 1800 | italiano
Lettera a Diogneto | Lettera a Diogneto  | 3699502 | -1 | Non pervenuta
Ambrogio Levati | Levati, Ambrogio  | 3314321 | -1 | italiano
David Levi | Levi, David  | 2671051 | 1800 | italiano
Franz Liszt | Liszt, Franz  | 2237356 | 1800 | ungherese
Émile Littré | Littré, Émile  | 3017778 | 1800 | francese
Anatolij Konstantinovič Ljadov | Ljadov, Anatolij Konstantinovič  | 826492 | 1800 | russo
Pietro Locatelli | Locatelli, Pietro  | 485045 | -1 | Non pervenuta
Giovanni Paolo Lomazzo | Lomazzo, Giovanni Paolo  | 295259 | 1500 | italiano
Jacopo Lombardini | Lombardini, Jacopo  | 4327836 | 1900 | italiano
Cesare Lombroso | Lombroso, Cesare  | 31975 | 1800 | italiano
Gina Lombroso | Lombroso, Gina  | 2702978 | 1800 | italiana
Jack London | London, Jack  | 2159911 | 1900 | statunitense
Achille Loria | Loria, Achille  | 600635 | -1 | italiano
Albert Lortzing | Lortzing, Albert  | 1450006 | 1800 | tedesco
Luigi Lucatelli | Lucatelli, Luigi  | 1919547 | 1900 | italiano
Gian Pietro Lucini | Lucini, Gian Pietro  | 55728 | 1900 | italiano
Jean-Baptiste Lully | Lully, Jean-Baptiste  | 220744 | 1600 | italiano
Thomas Lupo | Lupo, Thomas  | 3239099 | 1500 | inglese
Lusitania | Lusitania  | 2381677 | -1 | Non pervenuta
Luther Blissett | Luther Blissett  | 1614286 | -1 | Non pervenuta
Alessandro Luzio | Luzio, Alessandro  | 1461702 | 1800 | italiano
Thomas Babington Macaulay | Macaulay, Thomas Babington  | 678686 | 1800 | britannico
Niccolò Machiavelli | Machiavelli, Niccolò  | 850872 | -1 | Non pervenuta
John Henry Mackay | Mackay, John Henry  | 331443 | 1800 | scozzese
James Macpherson | Macpherson, James  | 1482787 | 1700 | scozzese
Costantino Maes | Maes, Costantino  | 4011581 | 1800 | italiano
Lorenzo Magalotti | Magalotti, Lorenzo  | 1650683 | -1 | Non pervenuta
Vincenzo Maggi | Maggi, Vincenzo  | 2595733 | 1500 | italiano
Gustav Mahler | Mahler, Gustav  | 198758 | 1800 | austriaco 
Errico Malatesta | Malatesta, Errico  | 41241 | -1 | Non pervenuta
Benoît Malon | Malon, Benoît  | 3612453 | 1800 | francese
Vittorio Malpassuti | Malpassuti, Vittorio  | 1302014 | 1900 | italiano
Goffredo Mameli | Mameli, Goffredo  | 77000 | 1800 | italiano
Domenico Maria Manni | Manni, Domenico Maria  | 2405913 | 1700 | italiano
Giuseppe Manno | Manno, Giuseppe  | 1565437 | 1800 | italiano
Paolo Mantegazza | Mantegazza, Paolo  | 125964 | 1800 | italiano
Alessandro Marcello | Marcello, Alessandro  | 432224 | 1600 | italiano
Benedetto Marcello | Marcello, Benedetto  | 72988 | 1700 | italiano
Louis Marchand | Marchand, Louis  | 560153 | 1600 | francese
Giovanni Marchetti | Marchetti, Giovanni  | 3395085 | -1 | Non pervenuta
Pietro Marchi | Marchi, Pietro  | 5979248 | -1 | italiano
Guglielmo Marconi | Marconi, Guglielmo  | 2691964 | 1900 | italiano
Olinto Marinelli | Marinelli, Olinto  | 276768 | -1 | italiano
Filippo Tommaso Marinetti | Marinetti, Filippo Tommaso  | 720124 | 1900 | italiano
Giovambattista Marino | Marino, Giovambattista  | 2984067 | -1 | Non pervenuta
Alberto Mario | Mario, Alberto  | 855837 | 1800 | italiano
Niccola Marselli | Marselli, Niccola  | 6786296 | -1 | Non pervenuta
Giovanni Marsili | Marsili, Giovanni  | 2976532 | 1700 | italiano
Pier Jacopo Martello | Martello, Pier Jacopo  | 49910 | 1600 | italiano
Tristano Martinelli | Martinelli, Tristano  | 821575 | -1 | italiano
Piero Martinetti | Martinetti, Piero  | 256653 | -1 | Non pervenuta
Ferdinando Martini | Martini, Ferdinando  | 761453 | 1800 | italiano
Giuseppe Martini | Martini, Giuseppe  | 1859530 | 1900 | italiano
Nino Martoglio | Martoglio, Nino  | 109532 | 1900 | italiano
Giuseppe Martucci | Martucci, Giuseppe  | 100810 | 1800 | italiano
Karl Marx | Marx, Karl  | 2699954 | 1800 | tedesco
Filippo Masci | Masci, Filippo  | 2711366 | 1800 | italiano
Ernesto Masi | Masi, Ernesto  | 4520815 | 1800 | italiano
Tullo Massarani | Massarani, Tullo  | 1697474 | 1800 | italiano
Jules Massenet | Massenet, Jules  | 755113 | -1 | francese
Francesco Mastriani | Mastriani, Francesco  | 662158 | 1800 | italiano
Carlo Matteucci | Matteucci, Carlo  | 18959 | 1800 | italiano
Giulio Mazzarino | Mazzarino, Giulio  | 27777 | 1600 | italiano
Giuseppe Mazzini | Mazzini, Giuseppe  | 2757211 | 1800 | italiano
Giovanni Meli | Meli, Giovanni  | 151629 | 1700 | italiano
Herman Melville | Melville, Herman  | 77091 | 1800 | statunitense
Francesco Saverio Merlino | Merlino, Francesco Saverio  | 687509 | -1 | Non pervenuta
Messa di requiem | Messa di requiem  | 3471037 | -1 | Non pervenuta
Maria Messina | Messina, Maria  | 2265348 | 2000 | italiana
Giacomo Meyerbeer | Meyerbeer, Giacomo  | 127136 | 1800 | tedesco
Fulgenzio Micanzio | Micanzio, Fulgenzio  | 3045087 | 1500 | italiano
Louise Michel | Michel, Louise  | 223956 | -1 | francese
Carlo Michelstaedter | Michelstaedter, Carlo  | 94191 | 1900 | italiano
Lorenzo Milani | Milani, Lorenzo  | 98200 | 1900 | italiano
John Stuart Mill | Mill, John Stuart  | 112933 | -1 | britannico
Mille e una notte | Mille e una notte  | 67675 | -1 | Non pervenuta
John Milton | Milton, John  | 18787 | -1 | Non pervenuta
Ugo Mioni | Mioni, Ugo  | 3031856 | 1800 | italiano
Octave Mirbeau | Mirbeau, Octave  | 353848 | 1800 | francese
Nicola Misasi | Misasi, Nicola  | 771697 | 1800 | italiano}}
Luigi Molinari | Molinari, Luigi  | 6586474 | 1800 | italiano
Theodor Mommsen | Mommsen, Theodor  | 198001 | -1 | tedesco
Ernesto Teodoro Moneta | Moneta, Ernesto Teodoro  | 35262 | 1800 | italiano
Massimo Mongai | Mongai, Massimo  | 275468 | 2000 | italiano
Antonino Mongitore | Mongitore, Antonino  | 2274300 | -1 | Non pervenuta
Tomaso Monicelli | Monicelli, Tomaso  | 779654 | 1900 | italiano
Marco Monnier | Monnier, Marco  | 5088332 | -1 | Non pervenuta
Claudio Monteverdi | Monteverdi, Claudio  | 20709 | 1500 | italiano
Achille Monti | Monti, Achille  | 4391676 | -1 | Non pervenuta
Vincenzo Monti | Monti, Vincenzo  | 854877 | 1700 | italiano
Luigi Morandi | Morandi, Luigi  | 1678442 | 1800 | italiano
Mario Morasso | Morasso, Mario  | 3998811 | 1900 | italiano
Mattia Moresco | Moresco, Mattia  | 5171191 | 1800 | italiano
Isabella Morra | Morra, Isabella  | 2125562 | -1 | Non pervenuta
William Morris | Morris, William  | 110494 | 1800 | britannico
Enrico Morselli | Morselli, Enrico  | 2441709 | -1 | italiano
Ercole Luigi Morselli | Morselli, Ercole Luigi  | 2071785 | 2000 | italiano
Gaetano Mosca | Mosca, Gaetano  | 330751 | 1800 | italiano
Nicola Moscardelli | Moscardelli, Nicola  | 4619860 | 1900 | italiano
Angelo Mosso | Mosso, Angelo  | 1541357 | 1800 | italiano
Wolfgang Amadeus Mozart | Mozart, Wolfgang Amadeus  | 2133116 | -1 | austriaco
Anna Maria Mozzoni | Mozzoni, Anna Maria  | 795058 | 1800 | italiana
Giovanni Mulè Bertòlo | Mulè Bertòlo, Giovanni  | 4532137 | 1800 | italiano
Lodovico Muratori | Muratori, Lodovico  | 2961776 | -1 | Non pervenuta
Lodovico Antonio Muratori | Muratori, Lodovico Antonio  | 1633009 | -1 | Non pervenuta
Romolo Murri | Murri, Romolo  | 599501 | 1800 | italiano
Modest Petrovič Musorgskij | Musorgskij, Modest Petrovič  | 99605 | -1 | russo
Étienne Nicolas Méhul | Méhul, Étienne Nicolas  | 133610 | -1 | francese
Nazioni Unite | Nazioni Unite  | 73890 | -1 | Non pervenuta
Ada Negri | Negri, Ada  | 310876 | 1900 | italiana
Francesco Negri | Negri, Francesco  | 4173052 | -1 | Non pervenuta
Gaetano Negri | Negri, Gaetano  | 113969 | 1800 | italiano
Enrico Nencioni | Nencioni, Enrico  | 4032094 | 1800 | italiano
Gherardo Nerucci | Nerucci, Gherardo  | 70501 | 1800 | italiano
Max Nettlau | Nettlau, Max  | 1864749 | 1900 | austriaco
Nibelunghi | Nibelunghi  | 392137 | -1 | Non pervenuta
Giovanni Battista Niccolini | Niccolini, Giovanni Battista  | 1439324 | 1800 | italiano
Carl Nielsen | Nielsen, Carl  | 1908003 | -1 | danese
Idelfonso Nieri | Nieri, Idelfonso  | 2212344 | 1800 | italiano
Friedrich Nietzsche | Nietzsche, Friedrich  | 2437872 | 1800 | tedesco
Ippolito Nievo | Nievo, Ippolito  | 96260 | 1800 | italiano
Guido Nobili | Nobili, Guido  | 6253796 | 1800 | italiano
Max Nordau | Nordau, Max  | 2200173 | 1800 | ungherese
Umberto Norsa | Norsa, Umberto  | 4025487 | -1 | italiano
Alberto Nota | Nota, Alberto  | 2115104 | 1800 | italiano
Angiolo Silvio Novaro | Novaro, Angiolo Silvio  | 708902 | 1800 | italiano
Mario Novaro | Novaro, Mario  | 1744310 | 1900 | italiano
Novellino | Novellino  | 76212 | -1 | Non pervenuta
Ottokar Eugen Nováček | Nováček, Ottokar Eugen  | 6161017 | -1 | Non pervenuta
Jacques Offenbach | Offenbach, Jacques  | 643413 | 1800 | tedesco
Ugo Ojetti | Ojetti, Ugo  | 15256 | 1900 | italiano
Adolfo Omodeo | Omodeo, Adolfo  | 256601 | 1900 | italiano
Edward Phillips Oppenheim | Oppenheim, Edward Phillips  | 5017792 | -1 | Non pervenuta
Francesco Orestano | Orestano, Francesco  | 115324 | 1900 | italiano
Alfredo Oriani | Oriani, Alfredo  | 754908 | 1800 | italiano
Pietro Orsi | Orsi, Pietro  | 5624946 | -1 | Non pervenuta
Felice Orsini | Orsini, Felice  | 147154 | 1800 | italiano
Aleksandr Nikolaevič Ostrovskij | Ostrovskij, Aleksandr Nikolaevič  | 2248633 | 1800 | russo
Johann Pachelbel | Pachelbel, Johann  | 137466 | 1600 | tedesco
Vincenzo Padula | Padula, Vincenzo  | 841777 | 1800 | italiano
Niccolò Paganini | Paganini, Niccolò  | 2641597 | 1800 | italiano
Édouard Pailleron | Pailleron, Édouard  | 3917843 | 1800 | francese
Giovanni Paisiello | Paisiello, Giovanni  | 87028 | 1700 | italiano
Andrea Palladio | Palladio, Andrea  | 694800 | 1500 | italiano
Piersandro Pallavicini | Pallavicini, Piersandro  | 2254975 | 2000 | italiano
Ferrante Pallavicino | Pallavicino, Ferrante  | 1367201 | 1600 | italiano
Angelica Palli Bartolommei | Palli Bartolommei, Angelica  | 6906523 | -1 | Non pervenuta
Maurice Paléologue | Paléologue, Maurice  | 2496491 | 1800 | francese
Enrico Panzacchi | Panzacchi, Enrico  | 1647050 | 1800 | italiano
Alfredo Panzini | Panzini, Alfredo  | 584154 | 1900 | italiano
Ferdinando Paolieri | Paolieri, Ferdinando  | 1814058 | 1900 | italiano
Giuseppe Parini | Parini, Giuseppe  | 854936 | 1700 | italiano
Filippo Parlatore | Parlatore, Filippo  | 282125 | -1 | italiano
Cesare Pascarella | Pascarella, Cesare  | 2562408 | 1800 | italiano
Giovanni Pascoli | Pascoli, Giovanni  | 2204528 | 1800 | italiano
Silvio Pellico | Pellico, Silvio  | 91170 | 1800 | italiano
Caterina Percoto | Percoto, Caterina  | 289506 | 1800 | italiana
Giovanni Battista Pergolesi | Pergolesi, Giovanni Battista  | 64063 | 1700 | italiano
Fredy Perlman | Perlman, Fredy  | 2197037 | 1900 | cecoslovacco
Emma Perodi | Perodi, Emma  | 73375 | 1800 | italiana
Charles Perrault | Perrault, Charles  | 160170 | -1 | Non pervenuta
Francesco Petrarca | Petrarca, Francesco  | 714552 | 1300 | italiano
Giorgio Petrocchi | Petrocchi, Giorgio  | 1726318 | 1900 | italiano
Ferdinando Petruccelli della Gattina | Petruccelli della Gattina, Ferdinando  | 1706780 | 1800 | italiano
Francesco Maria Piave | Piave, Francesco Maria  | 510629 | 1800 | italiano
Bruno Piazza | Piazza, Bruno  | 4577895 | 1900 | italiano
Giuseppe Piazzi | Piazzi, Giuseppe  | 128628 | -1 | italiano
Gianfrancesco Pico della Mirandola | Pico della Mirandola, Gianfrancesco  | 5214717 | -1 | Non pervenuta
Gabriel Pierné | Pierné, Gabriel  | 3037171 | 1900 | francese
Antonio Pigafetta | Pigafetta, Antonio  | 71891 | 1500 | italiano
Giulio Pinchetti | Pinchetti, Giulio  | 1676293 | -1 | Non pervenuta
Ippolito Pindemonte | Pindemonte, Ippolito  | 391470 | 1700 | italiano
Paolo Pino | Pino, Paolo  | 1200070 | 1500 | italiano
Giaime Pintor | Pintor, Giaime  | 137119 | 1900 | italiano
Giovanni Pinza | Pinza, Giovanni  | 3081585 | -1 | italiano
Alfredo Pioda | Pioda, Alfredo  | 6643173 | -1 | svizzero
Gabrio Piola | Piola, Gabrio  | 616740 | 1800 | italiano
Luigi Pirandello | Pirandello, Luigi  | 2013960 | 1800 | italiano
Carlo Pisacane | Pisacane, Carlo  | 89810 | -1 | Non pervenuta
Giuseppe Pitrè | Pitrè, Giuseppe  | 109533 | 1800 | italiano
Gino Piva | Piva, Gino  | 579313 | 1900 | italiano
Giggi Pizzirani | Pizzirani, Giggi  | 3738179 | 1800 | italiano
Luigi Podestà | Podestà, Luigi  | 5739814 | -1 | italiano
Edgar Allan Poe | Poe, Edgar Allan  | 225442 | 1800 | statunitense
Gaetano Polidori | Polidori, Gaetano  | 1328813 | 1700 | italiano
Angelo Poliziano | Poliziano, Angelo  | 4546949 | -1 | Non pervenuta
Marco Polo | Polo, Marco  | 1605825 | 1200 | italiano <!-- conta il fatto che milioni di libri scrivono che è italiano, non la cittadinanza (che tra l'altro non esisteva come esiste oggi) che aveva e che non si può manco dimostrare per l'irreperibilità di carte d'identità dell'epoca. -->
Guido Pompilj | Pompilj, Guido  | 186874 | 1800 | italiano
Amilcare Ponchielli | Ponchielli, Amilcare  | 52261 | 1800 | italiano
David Popper | Popper, David  | 2387507 | 1800 | ceco
Carlo Porta | Porta, Carlo  | 97908 | 1800 | italiano
Antonia Pozzi | Pozzi, Antonia  | 161593 | 1900 | italiana
Ernesto Pozzi | Pozzi, Ernesto  | 1286652 | 1800 | italiano
Michael Praetorius | Praetorius, Michael  | 262693 | 1500 | tedesco
Emilio Praga | Praga, Emilio  | 238346 | 1800 | italiano
Marco Praga | Praga, Marco  | 727987 | 1800 | italiano
Giovanni Prati | Prati, Giovanni  | 44014 | 1800 | italiano
Gaetano Previati | Previati, Gaetano  | 89268 | 1800 | italiano
Pierre Joseph Proudhon | Proudhon, Pierre Joseph  | 1659103 | -1 | Non pervenuta
Giacomo Puccini | Puccini, Giacomo  | 41160 | 1800 | italiano
Carlo Puini | Puini, Carlo  | 4081100 | -1 | italiano
Luigi Pulci | Pulci, Luigi  | 722263 | 1400 | italiano
Henry Purcell | Purcell, Henry  | 220928 | 1600 | inglese
Amilcare Puviani | Puviani, Amilcare  | 3985995 | -1 | italiano
Aleksandr Sergeevič Puškin | Puškin, Aleksandr Sergeevič  | 381188 | -1 | russo
Maurizio Quadrio | Quadrio, Maurizio  | 292275 | -1 | italiano
François Rabelais | Rabelais, François  | 129674 | 1500 | francese
