Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
William Beckford | Beckford, William  | 301507 | 1700 | britannico
Ludwig van Beethoven | Beethoven, Ludwig van  | 15759 | 1800 | tedesco
Cristina Belgioioso | Belgioioso, Cristina  | 1483071 | -1 | Non pervenuta
Giacomo Bellacchi | Bellacchi, Giacomo  | 23198 | 1800 | italiano
Angelo Bellani | Bellani, Angelo  | 5855251 | 1700 | italiano
Giuseppe Gioachino Belli | Belli, Giuseppe Gioachino  | 50708 | 1800 | italiano
Vincenzo Bellini | Bellini, Vincenzo  | 109726 | 1800 | italiano
Enrico Bellone | Bellone, Enrico  | 254172 | 1900 | italiano
Pietro Bembo | Bembo, Pietro  | 94739 | 1500 | italiano
Elia Benamozegh | Benamozegh, Elia  | 407310 | 1800 | italiano
Giovanni Berchet | Berchet, Giovanni  | 116018 | 1800 | italiano
Guglielmo Berchet | Berchet, Guglielmo  | 1569825 | 1800 | italiano
Alban Berg | Berg, Alban  | 62258 | -1 | austriaco
Hector Berlioz | Berlioz, Hector  | 219387 | 1800 | francese
Camillo Berneri | Berneri, Camillo  | 1911531 | 1900 | italiano
Giuseppe Berneri | Berneri, Giuseppe  | 770933 | 1600 | italiano
Francesco Berni | Berni, Francesco  | 785302 | 1500 | italiano
Vittorio Bersezio | Bersezio, Vittorio  | 622426 | 1800 | italiano
Cosimo Bertacchi | Bertacchi, Cosimo  | 5012452 | -1 | italiano
Giovanni Bertacchi | Bertacchi, Giovanni  | 548649 | 1800 | italiano
Domenico Berti | Berti, Domenico  | 760965 | 1800 | italiano
Giuseppe Bertini | Bertini, Giuseppe  | 2100447 | -1 | Non pervenuta
Brenno Bertoni | Bertoni, Brenno  | 1720015 | -1 | svizzero}}
Giulio Bertoni | Bertoni, Giulio  | 1683105 | -1 | italiano
Franz Berwald | Berwald, Franz  | 2010105 | 1800 | svedese
Mario Betti | Betti, Mario  | 878507 | -1 | italiano
Saverio Bettinelli | Bettinelli, Saverio  | 1408753 | 1700 | italiano
Guido Biagi | Biagi, Guido  | 6906057 | 1800 | italiano
Arturo Bianchi | Bianchi, Arturo  | 6027547 | 1900 | italiano
Carlo Bianco | Bianco, Carlo  | 2463902 | 1900 | italiano
Giovanni Giuseppe Bianconi | Bianconi, Giovanni Giuseppe  | 6266210 | -1 | italiano
Bibbia | Bibbia  | 2933033 | -1 | Non pervenuta
Pasquale Binazzi | Binazzi, Pasquale  | 1400910 | 1900 | italiano
Carlo Bini | Bini, Carlo  | 2971704 | 1800 | italiano
Georges Bizet | Bizet, Georges  | 206290 | -1 | Non pervenuta
Giulio Bizzozero | Bizzozero, Giulio  | 552276 | -1 | italiano
Luigi Blanch | Blanch, Luigi  | 2660015 | 1800 | italiano
Pietro Blaserna | Blaserna, Pietro  | 23338 | 1800 | italiano
Giovanni Boccaccio | Boccaccio, Giovanni  | 2952346 | -1 | Non pervenuta
Traiano Boccalini | Boccalini, Traiano  | 1272220 | 1600 | italiano
Gerolamo Boccardo | Boccardo, Gerolamo  | 1702048 | 1800 | italiano
Renzo Ildebrando Bocchi | Bocchi, Renzo Ildebrando  | 2938894 | 1900 | italiano
Matteo Maria Boiardo | Boiardo, Matteo Maria  | 712716 | -1 | Non pervenuta
François-Adrien Boieldieu | Boieldieu, François-Adrien  | 1634330 | 1800 | francese
Giovanni Boine | Boine, Giovanni  | 48732 | 1900 | italiano
Arrigo Boito | Boito, Arrigo  | 2064556 | 1800 | italiano
Camillo Boito | Boito, Camillo  | 200278 | -1 | Non pervenuta
Giorgio Bolza | Bolza, Giorgio  | 4977952 | 1800 | italiano
Francesco Augusto Bon | Bon, Francesco Augusto  | 1898038 | 1800 | italiano
Carlo Bonacini | Bonacini, Carlo  | 23350 | 1800 | italiano
Guidubaldo Bonarelli | Bonarelli, Guidubaldo  | 1949209 | -1 | Non pervenuta
Romualdo Bonfadini | Bonfadini, Romualdo  | 4485303 | 1800 | italiano
Ruggiero Bonghi | Bonghi, Ruggiero  | 217443 | 1800 | italiano
Giovanni Cosimo Bonomo | Bonomo, Giovanni Cosimo  | 2199857 | -1 | italiano
Armando Borghi | Borghi, Armando  | 1199661 | 1900 | italiano
Giuseppe Borghi | Borghi, Giuseppe  | 3940321 | -1 | italiano
Aleksandr Porfir'evič Borodin | Borodin, Aleksandr Porfir'evič  | 410127 | 1800 | russo
Ruggiero Giuseppe Boscovich | Boscovich, Ruggiero Giuseppe  | 6112335 | -1 | Non pervenuta
Ferdinando Bosio | Bosio, Ferdinando  | 5249945 | 1800 | italiano
Carlo Botta | Botta, Carlo  | 190394 | 1800 | italiano
Filippo Bottazzi | Bottazzi, Filippo  | 2909633 | -1 | italiano
Édouard Bourdet | Bourdet, Édouard  | 1716624 | 1900 | francese
Jean Baptiste Bouvier | Bouvier, Jean Baptiste  | 3857833 | -1 | Non pervenuta
Giovanni Bovio | Bovio, Giovanni  | 870556 | 1800 | italiano
