Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Vitaliano Brancati | Brancati, Vitaliano | 109525 | 1900 | italiano | 1907 | 1954 | M | M
Christianna Brand | Brand, Christianna | 2429732 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Karl Brandi | Brandi, Karl | 4711341 | -1 | tedesco | 1868 | 1946 | M | M
Marlon Brando | Brando, Marlon | 1588703 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Kazimierz Brandys | Brandys, Kazimierz | 2558003 | 1900 | polacco | 1916 | 2000 | M | M
Robbie Branscum | Branscum, Robbie | 2942288 | 1900 | statunitense | 1937 | 1997 | F | F
Robert Brasillach | Brasillach, Robert | 562841 | 1900 | francese | 1909 | 1945 | M | M
Tinto Brass | Brass, Tinto | 122714 | 1900 | italiano | 1933 |  | M | M
Maurizio Braucci | Braucci, Maurizio | 6427447 | 1900 | italiano | 1966 |  | M | M
Fernand Braudel | Braudel, Fernand | 74388 | 1900 | francese | 1902 | 1985 | M | M
Richard Brautigan | Brautigan, Richard | 1606442 | 1900 | statunitense | 1935 | 1984 | M | M
Libba Bray | Bray, Libba | 2465922 | 2000 | statunitense | 1964 |  | F | F
Bertolt Brecht | Brecht, Bertolt | 731716 | 1900 | tedesco | 1898 | 1956 | M | M
Jorgen Brekke | Brekke, Jorgen | 4802807 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alfred Brendel | Brendel, Alfred | 279967 | 1900 | austriaco | 1931 |  | M | M
Herbie Brennan | Brennan, Herbie | 511393 | -1 | irlandese | 1940 |  | M | M
Clemens Brentano | Brentano, Clemens | 1113994 | 1800 | tedesco | 1778 | 1842 | M | M
Gianni Brera | Brera, Gianni | 298657 | 1900 | italiano | 1919 | 1992 | M | M
paolo Brera | Brera, paolo | 2940580 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Marco Bresciani | Bresciani, Marco | 2411351 | 1900 | italiano | 1960 |  | M | M
Dario Bressanini | Bressanini, Dario | 3837072 | 1900 | italiano | 1963 |  | M | M
Mercedes Bresso | Bresso, Mercedes | 91025 | 1900 | italiana | 1944 |  | F | F
Franco Brevini | Brevini, Franco | 3189327 | 1900 | italiano | 1951 |  | M | M
breyten Breytenbach | Breytenbach, breyten | 3706421 | -1 | sudafricano | 1939 |  | M | M
katharine Briggs | Briggs, katharine | 4217612 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Raffaello Brignetti | Brignetti, Raffaello | 4049725 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
David Brin | Brin, David | 57509 | -1 | statunitense | 1950 |  | M | M
Gwen Bristow | Bristow, Gwen | 2428233 | 1900 | statunitense | 1903 | 1980 | F | F
Enrico Brizzi | Brizzi, Enrico | 216534 | 1900 | italiano | 1974 |  | M | M
Valerij Brjusov | Brjusov, Valerij | 3762577 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Hermann Broch | Broch, Hermann | 1923801 | 1900 | austriaco | 1886 | 1951 | M | M
Harold Brodkey | Brodkey, Harold | 1688147 | 1900 | statunitense | 1930 | 1996 | M | M
Max Brod | Brod, Max | 723723 | 1900 | ceco | 1884 | 1968 | M | M
Iosif Brodskij | Brodskij, Iosif | 5758318 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Angelo Brofferio | Brofferio, Angelo | 839329 | 1800 | italiano | 1802 | 1866 | M | M
Daniele Brolli | Brolli, Daniele | 753681 | 1900 | italiano | 1959 |  | M | M
Louis Bromfield | Bromfield, Louis | 773149 | 1900 | statunitense | 1896 | 1956 | M | M
David Bronstein | Bronstein, David | 1609206 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
agnolo Bronzino | Bronzino, agnolo | 1502820 | 1500 | italiano | 1503 | 1572 | M | M
Anita Brookner | Brookner, Anita | 1911476 | 1900 | inglese | 1928 | 2016 | F | F
geraldine Brooks | Brooks, geraldine | 3778788 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Max Brooks | Brooks, Max | 1229306 | 2000 | statunitense | 1972 |  | M | M
Terry Brooks | Brooks, Terry | 553388 | 1900 | statunitense | 1944 |  | M | M
Paolo Brosio | Brosio, Paolo | 625364 | 1900 | italiano | 1956 |  | M | M
Dan Brown | Brown, Dan | 85499 | 2000 | statunitense  | 1964 |  | M | M
Dee Brown | Brown, Dee | 2003439 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Fredric Brown | Brown, Fredric | 129387 | 1900 | statunitense | 1906 | 1972 | M | M
Molly Brown | Brown, Molly | 3301350 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Sandra Brown | Brown, Sandra | 4772791 | -1 | statunitense | 1948 |  | F | F
Jean Bruce | Bruce, Jean | 1272243 | 1900 | francese | 1921 | 1963 | M | M
Hilde Bruch | Bruch, Hilde | 1746902 | -1 | statunitense | 1904 | 1984 | F | F
Edith Bruck | Bruck, Edith | 1928022 | 1900 | ungherese | 1932 |  | F | F
Karl Bruckner | Bruckner, Karl | 2496924 | 1900 | austriaco | 1906 | 1982 | M | M
Philippe Brunel | Brunel, Philippe | 4739313 | -1 | francese | 1973 |  | M | M
Renato Brunetta | Brunetta, Renato | 2577339 | 1900 | italiano | 1950 |  | M | M
Rita Brunetti | Brunetti, Rita | 2214333 | 1900 | italiana | 1890 | 1942 | F | F
Leonardo Bruni | Bruni, Leonardo | 286787 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Luigino Bruni | Bruni, Luigino | 5032410 | 1900 | italiano | 1966 |  | M | M
Riccardo Bruni | Bruni, Riccardo | 2084502 | 1900 | italiano | 1956 |  | M | M
John Brunner | Brunner, John | 52548 | -1 | britannico | 1934 | 1995 | M | M
Giordano Bruno | Bruno, Giordano | 1682878 | 1500 | italiano | 1548 | 1600 | M | M
Vito Bruno | Bruno, Vito | 6363281 | 1900 | italiano | 1957 | -1 | M | M
Serge Brussolo | Brussolo, Serge | 521465 | 1900 | francese | 1951 |  | M | M
Pearl Buck | Buck, Pearl | 838631 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Charles Bukowski | Bukowski, Charles | 41159 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Michail Bulgakov | Bulgakov, Michail | 1145316 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Edward Bunker | Bunker, Edward | 48242 | 1900 | statunitense | 1933 | 2005 | M | M
William Burroughs | Burroughs, William | 117963 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
aldo Busi | Busi, aldo | 2544271 | 1900 | italiano | 1948 |  | M | M
Fabio Bussotti | Bussotti, Fabio | 3800568 | 1900 | italiano | 1963 |  | M | M
marco Buticchi | Buticchi, marco | 506947 | 1900 | italiano | 1957 |  | M | M
Sarah Butler | Butler, Sarah | 4670497 | -1 | statunitense | 1985 |  | F | F
Dino Buzzati | Buzzati, Dino | 15816 | 1900 | italiano | 1906 | 1972 | M | M
Buzzati | Buzzati | 636018 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Antonio Cabrini | Cabrini, Antonio | 295475 | -1 | italiano | 1957 |  | M | M
Felice Caccamo | Caccamo, Felice | 2319904 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Antonio Caccianiga | Caccianiga, Antonio | 3413454 | 1800 | italiano | 1823 | 1909 | M | M
Domenico Cacopardo | Cacopardo, Domenico | 1618457 | 1900 | italiano | 1936 |  | M | M
Francesco Cacucci | Cacucci, Francesco | 553038 | 1900 | italiano | 1943 |  | M | M
Pino Cacucci | Cacucci, Pino | 228892 | 1900 | italiano | 1955 |  | M | M
Luciano Cafagna | Cafagna, Luciano | 2168516 | 1900 | italiano | 1926 | 2012 | M | M
Andrea Caffi | Caffi, Andrea | 4731231 | 1900 | italiano | 1887 | 1955 | M | M
Nanni Cagnone | Cagnone, Nanni | 3427632 | 1900 | italiano | 1939 |  | M | M
Fiorella Cagnoni | Cagnoni, Fiorella | 1577531 | 1900 | italiana | 1947 |  | F | F
Alan Caillou | Caillou, Alan | 4045576 | -1 | inglese | 1914 | 2006 | M | M
James Cain | Cain, James | 5986658 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alberto Cairo | Cairo, Alberto | 3179825 | 1900 | italiano | 1952 |  | M | M
Bruno Caizzi | Caizzi, Bruno | 5393728 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Pietro Calabrese | Calabrese, Pietro | 448198 | 1900 | italiano | 1944 | 2010 | M | M
Mario Calabresi | Calabresi, Mario | 1575022 | 2000 | italiano | 1970 |  | M | M
Domitilla Calamai | Calamai, Domitilla | 1703714 | 1900 | italiana |  |  | F | F
Piero Calamandrei | Calamandrei, Piero | 2622990 | 1900 | italiano | 1889 | 1956 | M | M
Giorgio Calcagno | Calcagno, Giorgio | 2228878 | 1900 | italiano | 1929 | 2004 | M | M
Erskine Caldwell | Caldwell, Erskine | 1487397 | 1900 | statunitense | 1903 | 1987 | M | M
Taylor Caldwell | Caldwell, Taylor | 6402466 | -1 | britannica | 1900 | 1985 | F | F
Callimaco | Callimaco | 309645 | -1 | greco antico | intorno al 310 a.C. | intorno al 235 a.C. | M | M
Callino | Callino | 88754 | -1 | greco antico |  | ? | M | M
Guido Calogero | Calogero, Guido | 1062574 | 1900 | italiano | 1904 | 1986 | M | M
Paola Calvetti | Calvetti, Paola | 2035109 | 2000 | italiana | 1955 |  | F | F
Fabrizio Calvi | Calvi, Fabrizio | 3840708 | 1900 | italiano | 1954 |  | M | M
Italo Calvino | Calvino, Italo | 309673 | 1900 | italiano | 1923 | 1985 | M | M
italo Calvino | Calvino, italo | 309673 | 1900 | italiano | 1923 | 1985 | M | M
Enrico Camanni | Camanni, Enrico | 2095000 | 1900 | italiano | 1957 |  | M | M
Helder Camara | Camara, Helder | 604000 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Davide Camarrone | Camarrone, Davide | 2032752 | 2000 | italiano | 1966 |  | M | M
Adele Cambria | Cambria, Adele | 2645101 | 1900 | italiana | 1931 | 2015 | F | F
Giovanni Camerana | Camerana, Giovanni | 238483 | 1800 | italiano | 1845 | 1905 | M | M
Peter Cameron | Cameron, Peter | 1137235 | 1900 | statunitense | 1959 |  | M | M
Andrea Camilleri | Camilleri, Andrea | 38127 | 1900 | italiano | 1925 |  | M | M
Camilleri | Camilleri | 1777572 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giulio Camillo | Camillo, Giulio | 2714705 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Salvatore Cammarano | Cammarano, Salvatore | 452698 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Stefano Cammelli | Cammelli, Stefano | 5895785 | 1900 | italiano | 1951 |  | M | M
Rino Cammilleri | Cammilleri, Rino | 1179453 | 1900 | italiano | 1950 |  | M | M
Dino Campana | Campana, Dino | 47247 | 1900 | italiano | 1885 | 1932 | M | M
Tommaso Campanella | Campanella, Tommaso | 79881 | 1600 | italiano | 1568 | 1639 | M | M
Achille Campanile | Campanile, Achille | 329162 | 1900 | italiano | 1899 | 1977 | M | M
Alan Campbell | Campbell, Alan | 4067636 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Joseph Campbell | Campbell, Joseph | 311255 | 1900 | statunitense | 1904 | 1987 | M | M
Ramsey Campbell | Campbell, Ramsey | 546524 | 1900 | britannico | 1946 |  | M | M
Giuseppe Campolieti | Campolieti, Giuseppe | 1838284 | 1900 | italiano | 1933 |  | M | M
Rossana Campo | Campo, Rossana | 779172 | 1900 | italiana | 1963 |  | F | F
Gabriel Camps | Camps, Gabriel | 4198422 | -1 | francese | 1927 | 2002 | M | M
Edoardo Camurri | Camurri, Edoardo | 3048720 | 2000 | italiano | 1974 |  | M | M
Albert Camus | Camus, Albert | 26206 | 1900 | francese | 1913 | 1960 | M | M
David Camus | Camus, David | 2488884 | 2000 | francese | 1970 |  | M | M
Alessandro Canale | Canale, Alessandro | 3651874 | -1 | italiano | 1969 |  | M | M
Luca Canali | Canali, Luca | 846539 | 1900 | italiano | 1925 | 2014 | M | M
Luigi Cancrini | Cancrini, Luigi | 2234199 | 1900 | italiano | 1938 |  | M | M
Giovanni Canestrini | Canestrini, Giovanni | 6573859 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Elias Canetti | Canetti, Elias | 135810 | 1900 | bulgaro | 1905 | 1994 | M | M
Veza Canetti | Canetti, Veza | 2138897 | 1900 | austriaca | 1897 | 1963 | F | F
Andrea Canevaro | Canevaro, Andrea | 5756458 | 2000 | italiano | 1939 |  | M | M
Luciano Canfora | Canfora, Luciano | 121934 | 1900 | italiano | 1942 |  | M | M
Ivan Cankar | Cankar, Ivan | 2039105 | 1800 | sloveno | 1876 | 1918 | M | M
Victor Canning | Canning, Victor | 1576312 | 1900 | inglese | 1911 | 1986 | M | M
Andrea Canobbio | Canobbio, Andrea | 4336237 | 1900 | italiano | 1962 |  | M | M
Raniero Cantalamessa | Cantalamessa, Raniero | 1369575 | -1 | italiano | 1934 |  | M | M
Eva Cantarella | Cantarella, Eva | 1737436 | 1900 | italiana | 1936 |  | F | F
Raffaele Cantone | Cantone, Raffaele | 2082918 | -1 | italiano | 1963 |  | M | M
Alberto Cantoni | Cantoni, Alberto | 666447 | 1800 | italiano | 1841 | 1904 | M | M
Remo Cantoni | Cantoni, Remo | 2130836 | 1900 | italiano | 1914 | 1978 | M | M
Irene Cao | Cao, Irene | 5047747 | 1900 | italiana | 1979 |  | F | F
Rosaria Capacchione | Capacchione, Rosaria | 2174369 | 1900 | italiana | 1960 |  | F | F
Mario Capanna | Capanna, Mario | 89728 | 1900 | italiano | 1945 |  | M | M
Bartolommeo Capasso | Capasso, Bartolommeo | 1507507 | 1800 | italiano | 1815 | 1900 | M | M
Karel Capek | Capek, Karel | 56927 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
ovidio Capitani | Capitani, ovidio | 475935 | 1900 | italiano | 1930 | 2012 | M | M
Aldo Capitini | Capitini, Aldo | 25555 | 1900 | italiano | 1899 | 1968 | M | M
Vinicio Capossela | Capossela, Vinicio | 19370 | 1900 | italiano | 1965 |  | M | M
vinicio Capossela | Capossela, vinicio | 19370 | 1900 | italiano | 1965 |  | M | M
Truman Capote | Capote, Truman | 220912 | 1900 | statunitense | 1924 | 1984 | M | M
Sandro Cappelletto | Cappelletto, Sandro | 1218030 | 1900 | italiano | 1952 |  | M | M
Gaetano Cappelli | Cappelli, Gaetano | 2460848 | 1900 | italiano | 1954 |  | M | M
Carla Capponi | Capponi, Carla | 1586808 | 1900 | italiana | 1918 | 2000 | F | F
gino Capponi | Capponi, gino | 653026 | 1800 | italiano | 1792 | 1876 | M | M
Ruggero Cappuccio | Cappuccio, Ruggero | 1776589 | 1900 | italiano | 1964 |  | M | M
Fritjof Capra | Capra, Fritjof | 231089 | 1900 | austriaco | 1939 |  | M | M
Antonio Caprarica | Caprarica, Antonio | 585296 | 1900 | italiano | 1951 |  | M | M
Paola Capriolo | Capriolo, Paola | 1353183 | 1900 | italiana | 1962 |  | F | F
Bernardo Caprotti | Caprotti, Bernardo | 1376265 | -1 | italiano | 1925 | 2016 | M | M
Luigi Capuana | Capuana, Luigi | 97828 | 1800 | italiano | 1839 | 1915 | M | M
Toni Capuozzo | Capuozzo, Toni | 388432 | 1900 | italiano | 1948 |  | M | M
Enrichetta Caracciolo | Caracciolo, Enrichetta | 2593649 | 1800 | italiana | 1821 | 1901 | F | F
Andrea Carandini | Carandini, Andrea | 726361 | -1 | italiano | 1937 |  | M | M
Fabrizio Carbone | Carbone, Fabrizio | 3542318 | 1900 | italiano | 1942 |  | M | M
Giulio Carcano | Carcano, Giulio | 1691675 | 1800 | italiano | 1812 | 1884 | M | M
Giulia Carcasi | Carcasi, Giulia | 755265 | 2000 | italiana | 1984 |  | F | F
Vincenzo Cardarelli | Cardarelli, Vincenzo | 53206 | 1900 | italiano | 1887 | 1959 | M | M
Lara Cardella | Cardella, Lara | 1494759 | 1900 | italiana | 1969 |  | F | F
Franco Cardini | Cardini, Franco | 2833971 | 1900 | italiano | 1940 |  | M | M
franco Cardini | Cardini, franco | 2833971 | 1900 | italiano | 1940 |  | M | M
Fabio Caressa | Caressa, Fabio | 509278 | 2000 | italiano | 1967 |  | M | M
Lanfranco Caretti | Caretti, Lanfranco | 1789571 | 1900 | italiano | 1915 | 1995 | M | M
Jacqueline Carey | Carey, Jacqueline | 1709291 | 2000 | statunitense | 1964 |  | F | F
Enrico Caria | Caria, Enrico | 2588758 | 1900 | italiano | 1957 |  | M | M
Paola Caridi | Caridi, Paola | 3929884 | 1900 | italiana | 1961 |  | F | F
Beppe Carletti | Carletti, Beppe | 152056 | -1 | italiano | 1946 |  | M | M
Luigi Carletti | Carletti, Luigi | 4916305 | 1900 | italiano | 1960 |  | M | M
Finn Carling | Carling, Finn | 1808678 | -1 | norvegese | 1925 | 2004 | M | M
John Carlin | Carlin, John | 2998185 | -1 | inglese | 1956 |  | M | M
Massimo Carlotto | Carlotto, Massimo | 351285 | 1900 | italiano | 1956 |  | M | M
Christoffer Carlsson | Carlsson, Christoffer | 5854923 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
dale Carnegie | Carnegie, dale | 1223814 | 1900 | statunitense | 1888 | 1955 | M | M
Emanuel Carnevali | Carnevali, Emanuel | 2108689 | 1900 | italiano | 1897 | 1942 | M | M
annibal Caro | Caro, annibal | 4320709 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giampiero Carocci | Carocci, Giampiero | 3916742 | 1900 | italiano | 1919 | 2017 | M | M
Francesco Carofiglio | Carofiglio, Francesco | 4906452 | 1900 | italiano | 1964 |  | M | M
Gianrico Carofiglio | Carofiglio, Gianrico | 473323 | 1900 | italiano | 1961 |  | M | M
Flavio Caroli | Caroli, Flavio | 4395249 | -1 | italiano | 1945 |  | M | M
Antonio Caronia | Caronia, Antonio | 4093634 | 1900 | italiano | 1944 | 2013 | M | M
Aldo Carotenuto | Carotenuto, Aldo | 319447 | 1900 | italiano | 1933 | 2005 | M | M
Alejo Carpentier | Carpentier, Alejo | 731466 | -1 | cubano | 1904 | 1980 | M | M
Pinin Carpi | Carpi, Pinin | 1170460 | 1900 | italiano | 1920 | 2004 | M | M
Allen Carr | Carr, Allen | 575941 | 1900 | britannico | 1934 | 2006 | M | M
Caleb Carr | Carr, Caleb | 1268934 | XX | statunitense | 1955 |  | M | M
Edward Carr | Carr, Edward | 1153447 | 1900 | britannico | 1892 | 1982 | M | M
Luigi Carrer | Carrer, Luigi | 3485114 | 1800 | italiano | 1801 | 1850 | M | M
Carlo Carretto | Carretto, Carlo | 476565 | -1 | italiano | 1910 | 1988 | M | M
Leonora Carrington | Carrington, Leonora | 161311 | 1900 | britannica | 1917 | 2011 | F | F
Donato Carrisi | Carrisi, Donato | 2625910 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Carrisi | Carrisi | 4813166 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
James Carr | Carr, James | 904953 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Jonathan Carroll | Carroll, Jonathan | 589542 | XX | statunitense | 1949 |  | M | M
Lee Carroll | Carroll, Lee | 2372447 | -1 | statunitense |  |  | M | M
Lewis Carroll | Carroll, Lewis | 72494 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Francis Carsac | Carsac, Francis | 6177789 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
rachel Carson | Carson, rachel | 227563 | 1900 | statunitense | 1907 | 1964 | F | F
Angela Carter | Carter, Angela | 1979740 | 1900 | britannica | 1940 | 1992 | F | F
Howard Carter | Carter, Howard | 2258 | -1 | britannico | 1874 | 1939 | M | M
Lin Carter | Carter, Lin | 1915059 | 1900 | statunitense | 1930 | 1988 | M | M
Cartesio | Cartesio | 1805982 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
barbara Cartland | Cartland, barbara | 1702726 | 1900 | britannica | 1901 | 2000 | F | F
alfio Caruso | Caruso, alfio | 1687713 | 1900 | italiano | 1950 |  | M | M
Giuseppe Caruso | Caruso, Giuseppe | 721177 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Raymond Carver | Carver, Raymond | 104993 | 1900 | statunitense | 1938 | 1988 | M | M
Mario Casacci | Casacci, Mario | 2088523 | 1900 | italiano | 1925 | 1995 | M | M
Pedro Casaldaliga | Casaldaliga, Pedro | 7008387 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Paolo Casalegno | Casalegno, Paolo | 2350426 | 1900 | italiano | 1952 | 2009 | M | M
Pino Casamassima | Casamassima, Pino | 1679938 | 1900 | italiano |  |  | M | M
Antonio Casanova | Casanova, Antonio | 2305868 | 1900 | italiano | 1972 |  | M | M
Giovanni Casanova | Casanova, Giovanni | 2756923 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Paolo Casarin | Casarin, Paolo | 747867 | -1 | italiano | 1940 |  | M | M
Giuseppe Casarrubea | Casarrubea, Giuseppe | 1345195 | 1900 | italiano | 1946 | 2015 | M | M
Roberto Casati | Casati, Roberto | 1557272 | 1900 | italiano | 1961 |  | M | M
Francesco Cascioli | Cascioli, Francesco | 1030423 | 1900 | italiano | 1953 | 2010 | M | M
Luigi Cascioli | Cascioli, Luigi | 486162 | 1900 | italiano | 1934 | 2010 | M | M
Giancarlo Caselli | Caselli, Giancarlo | 541683 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Stefano Caselli | Caselli, Stefano | 804048 | -1 | italiano | 1978 |  | M | M
Francesco Casetti | Casetti, Francesco | 2617242 | 1900 | italiano | 1947 |  | M | M
Claudio Casini | Casini, Claudio | 5584781 | 1900 | italiano | 1937 | 1994 | M | M
Davide Cassani | Cassani, Davide | 456592 | 2000 | italiano | 1961 |  | M | M
Massimo Cassani | Cassani, Massimo | 3484764 | 1900 | italiano | 1966 |  | M | M
Franco Cassano | Cassano, Franco | 4409607 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Antonio Cassese | Cassese, Antonio | 1948210 | 1900 | italiano | 1937 | 2011 | M | M
giuseppe Cassieri | Cassieri, giuseppe | 614970 | 1900 | italiano | 1926 | 2008 | M | M
Giovanni Cassini | Cassini, Giovanni | 8878 | 1600 | italiano | 1625 | 1712 | M | M
Carlo Cassola | Cassola, Carlo | 74398 | 1900 | italiano | 1917 | 1987 | M | M
Cassola | Cassola | 2553875 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Carlos Castaneda | Castaneda, Carlos | 237858 | 1900 | peruviano | 1925 | 1998 | M | M
carlo Castellaneta | Castellaneta, carlo | 3318600 | 1900 | italiano | 1930 | 2013 | M | M
alfredo Castelli | Castelli, alfredo | 114056 | -1 | italiano | 1947 |  | M | M
Benedetto Castelli | Castelli, Benedetto | 618564 | 1600 | italiano | 1578 | 1643 | M | M
Francesco Castelli | Castelli, Francesco | 2027809 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giuseppe Castelli | Castelli, Giuseppe | 1922970 | 1900 | italiano | 1871 | 1943 | M | M
Manuel Castells | Castells, Manuel | 228363 | 1900 | spagnolo | 1942 |  | M | M
Enrico Castelnuovo | Castelnuovo, Enrico | 2330284 | -1 | italiano | 1929 | 2014 | M | M
Mario Castelnuovo | Castelnuovo, Mario | 210640 | -1 | italiano | 1955 |  | M | M
Richard Castle | Castle, Richard | 4124330 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Marco Castoldi | Castoldi, Marco | 1520920 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Cornelius Castoriadis | Castoriadis, Cornelius | 545352 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Valerio Castronovo | Castronovo, Valerio | 2180182 | 1900 | italiano | 1935 |  | M | M
Basilio Catania | Catania, Basilio | 4178763 | 1900 | italiano | 1926 | 2010 | M | M
Enzo Catania | Catania, Enzo | 1540601 | 1900 | italiano | 1940 |  | M | M
Willa Cather | Cather, Willa | 131658 | 1900 | statunitense | 1873 | 1947 | F | F
George Catlin | Catlin, George | 877024 | 1800 | statunitense | 1796 | 1872 | M | M
alfredo Cattabiani | Cattabiani, alfredo | 662255 | 1900 | italiano | 1937 | 2003 | M | M
Giovanni Cattanei | Cattanei, Giovanni | 614627 | -1 | italiano |  | 2005 | M | M
Carlo Cattaneo | Cattaneo, Carlo | 107875 | 1800 | italiano | 1801 | 1869 | M | M
Alessandro Cattelan | Cattelan, Alessandro | 458675 | -1 | italiano | 1980 |  | M | M
giulio Cattin | Cattin, giulio | 556616 | 1900 | italiano | 1929 | 2014 | M | M
Augusto Cavadi | Cavadi, Augusto | 3899720 | 1900 | italiano | 1950 |  | M | M
Guido Cavalcanti | Cavalcanti, Guido | 712354 | 1200 | italiano | intorno al [[1258]] | 1300 | M | M
Angelo Cavallaro | Cavallaro, Angelo | 4197429 | 1900 | italiano | 1967 |  | M | M
Giulio Cavalli | Cavalli, Giulio | 755264 | 2000 | italiano | 1977 |  | M | M
Felice Cavallotti | Cavallotti, Felice | 306003 | 1800 | italiano | 1842 | 1898 | M | M
Adriana Cavarero | Cavarero, Adriana | 1490192 | 1900 | italiana | 1947 |  | F | F
Ermanno Cavazzoni | Cavazzoni, Ermanno | 571616 | 1900 | italiano | 1947 |  | M | M
Cristiano Cavina | Cavina, Cristiano | 2436839 | 2000 | italiano | 1974 |  | M | M
Ilaria Cavo | Cavo, Ilaria | 1333835 | 2000 | italiana | 1973 |  | F | F
Elena Cazzulani | Cazzulani, Elena | 6018123 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Aldo Cazzullo | Cazzullo, Aldo | 493002 | 1900 | italiano | 1966 |  | M | M
Filippo Ceccarelli | Ceccarelli, Filippo | 4424377 | 1900 | italiano | 1955 |  | M | M
Silvio Ceccato | Ceccato, Silvio | 1901326 | 1900 | italiano | 1914 | 1997 | M | M
Umberto Cecchi | Cecchi, Umberto | 621433 | 1900 | italiano | 1940 |  | M | M
Lucia Ceci | Ceci, Lucia | 5613609 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giovanni Cecini | Cecini, Giovanni | 1715727 | 2000 | italiano | 1979 |  | M | M
Camilla Cederna | Cederna, Camilla | 250190 | 1900 | italiana | 1911 | 1997 | F | F
Gianni Celati | Celati, Gianni | 786316 | 1900 | italiano | 1937 |  | M | M
Ascanio Celestini | Celestini, Ascanio | 356627 | 2000 | italiano | 1972 |  | M | M
giorgio Celli | Celli, giorgio | 463567 | 1900 | italiano | 1935 | 2011 | M | M
Giorgio Celli | Celli, Giorgio | 463567 | 1900 | italiano | 1935 | 2011 | M | M
Benvenuto Cellini | Cellini, Benvenuto | 709231 | 1500 | italiano | 1500 | 1571 | M | M
Matteo Cellini | Cellini, Matteo | 6562592 | 2000 | italiano | 1978 |  | M | M
Giovanni Cena | Cena, Giovanni | 1571530 | 1800 | italiano | 1870 | 1917 | M | M
Cenere | Cenere | 2413232 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Luca Centi | Centi, Luca | 4374317 | 2000 | italiano | 1985 |  | M | M
Vincenzo Cerami | Cerami, Vincenzo | 637278 | 1900 | italiano | 1940 | 2013 | M | M
carla Cerati | Cerati, carla | 1041937 | 1900 | italiana | 1926 | 2016 | F | F
Javier Cercas | Cercas, Javier | 540605 | -1 | spagnolo | 1962 |  | M | M
luca Cerchiari | Cerchiari, luca | 1633847 | -1 | italiano | 1957 |  | M | M
guido Ceronetti | Ceronetti, guido | 237419 | 1900 | italiano | 1927 |  | M | M
Umberto Cerroni | Cerroni, Umberto | 1558162 | 1900 | italiano | 1926 | 2007 | M | M
