Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Jim Al-Khalili | Al-Khalili, Jim | 4438624 | -1 | inglese | 1962 |  | M | M
Isabel Allende | Allende, Isabel | 2277 | 1900 | cilena | 1942 |  | F | F
Allende | Allende | 1503131 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
William Allen | Allen, William | 3463026 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Woody Allen | Allen, Woody | 120640 | -1 | statunitense | 1935 |  | M | M
Allen | Allen | 1462134 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
David Almond | Almond, David | 2408107 | 2000 | inglese | 1951 |  | M | M
Joaquin Alonso | Alonso, Joaquin | 2695746 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Louis Althusser | Althusser, Louis | 515161 | 1900 | francese | 1918 | 1990 | M | M
Alan Altieri | Altieri, Alan | 6482514 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
David Alvarez | Alvarez, David | 5956725 | -1 | canadese | 1994 |  | M | M
Luigi Amabile | Amabile, Luigi | 1706977 | 1800 | italiano | 1828 | 1892 | M | M
Jorge Amado | Amado, Jorge | 80468 | 1900 | brasiliano | 1912 | 2001 | M | M
Giuseppe Amato | Amato, Giuseppe | 344907 | 1900 | italiano | 1899 | 1964 | M | M
Umberto Ambrosoli | Ambrosoli, Umberto | 4272251 | 2000 | italiano | 1971 |  | M | M
Chiara Amirante | Amirante, Chiara | 3389980 | 1900 | italiana | 1966 |  | F | F
Suad Amiry | Amiry, Suad | 1906400 | 1900 | palestinese | 1951 |  | F | F
Martin Amis | Amis, Martin | 523945 | 1900 | britannico | 1949 |  | M | M
Gabriele Amorth | Amorth, Gabriele | 254547 | 1900 | italiano | 1925 | 2016 | M | M
Rodolfo Amprino | Amprino, Rodolfo | 4042216 | 1900 | italiano | 1912 | 2007 | M | M
Roberto Ampuero | Ampuero, Roberto | 1864861 | 1900 | cileno | 1953 |  | M | M
Antonio Amurri | Amurri, Antonio | 1036364 | 1900 | italiano | 1925 | 1992 | M | M
Carlo Ancelotti | Ancelotti, Carlo | 210683 | 2000 | italiano | 1959 |  | M | M
Hans Andersen | Andersen, Hans | 4431203 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Anderson | Anderson | 838224 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Jon Anderson | Anderson, Jon | 101384 | -1 | britannico | 1944 |  | M | M
Kevin Anderson | Anderson, Kevin | 3262125 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Poul Anderson | Anderson, Poul | 48319 | 1900 | statunitense | 1926 | 2001 | M | M
Stefano Andreoli | Andreoli, Stefano | 3490775 | 2000 | italiano | 1979 |  | M | M
Vittorino Andreoli | Andreoli, Vittorino | 3115635 | 1900 | italiano | 1940 |  | M | M
Stefan Andres | Andres, Stefan | 4083491 | 1900 | tedesco | 1906 | 1970 | M | M
Colin Andrews | Andrews, Colin | 5055188 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Francesco Anfossi | Anfossi, Francesco | 3179471 | -1 | italiano | 1819 | 1890 | M | M
Alberto Angela | Angela, Alberto | 201487 | 1900 | italiano | 1962 |  | M | M
Josephine Angelini | Angelini, Josephine | 4567659 | 1900 | statunitense | 1975 |  | F | F
Maria Anna | Anna, Maria | 6848327 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Lucia Annunziata | Annunziata, Lucia | 135272 | 1900 | italiana | 1950 |  | F | F
Anonimo | Anonimo | 491425 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Anonymous | Anonymous | 3245877 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Luigi Antonelli | Antonelli, Luigi | 2642956 | 1800 | italiano | 1877 | 1942 | M | M
Marco Antonino | Antonino, Marco | 2470849 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giovanni Antonucci | Antonucci, Giovanni | 2032236 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Willi Apel | Apel, Willi | 2307123 | 1900 | tedesco | 1893 | 1988 | M | M
Apicio | Apicio | 16488 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Bruno Apitz | Apitz, Bruno | 2248231 | 1900 | tedesco | 1900 | 1979 | M | M
Guillaume Apollinaire | Apollinaire, Guillaume | 209343 | 1900 | francese | 1880 | 1918 | M | M
Aharon Appelfeld | Appelfeld, Aharon | 1167611 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alessandra Appiano | Appiano, Alessandra | 4382051 | 2000 | italiana | 1959 |  | F | F
Aran | Aran | 121345 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alberto Arbasino | Arbasino, Alberto | 391424 | XX | italiano | 1930 |  | M | M
Silvana Arbia | Arbia, Silvana | 3853999 | 1900 | italiana | 1952 |  | F | F
