Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Milij Alekseevič Balakirev | Balakirev, Milij Alekseevič  | 440955 | -1 | russo | 1837 | 1910 | M | M
Cesare Balbo | Balbo, Cesare  | 248006 | 1800 | italiano | 1789 | 1853 | M | M
Adriano Banchieri | Banchieri, Adriano  | 136414 | 1600 | italiano | 1568 | 1634 | M | M
Matteo Bandello | Bandello, Matteo  | 99926 | 1500 | italiano | 1485 | 1561 | M | M
Giuseppe Bandi | Bandi, Giuseppe  | 772588 | 1800 | italiano | 1834 | 1894 | M | M
Adelchi Baratono | Baratono, Adelchi  | 378449 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Pierangelo Baratono | Baratono, Pierangelo  | 5200613 | 1900 | italiano | 1880 | 1927 | M | M
Berto Barbarani | Barbarani, Berto  | 1371051 | 1900 | italiano | 1872 | 1945 | M | M
Eugenio Barbarich | Barbarich, Eugenio  | 1113847 | 1800 | italiano | 1863 | 1931 | M | M
Ulisse Barbieri | Barbieri, Ulisse  | 3554512 | 1800 | italiano | 1842 | 1899 | M | M
Henri Barbusse | Barbusse, Henri  | 525778 | 1900 | francese | 1873 | 1935 | M | M
Carmela Baricelli | Baricelli, Carmela  | 3250554 | 1800 | italiana | 1861 | 1946 | F | F
Teofilo Barla | Barla, Teofilo  | 6186420 | -1 | italiano | -1 | -1 | non trovato | non trovato
James Matthew Barrie | Barrie, James Matthew  | 4752074 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Anton Giulio Barrili | Barrili, Anton Giulio  | 445666 | 1800 | italiano | 1836 | 1908 | M | M
Matteo Giulio Bartoli | Bartoli, Matteo Giulio  | 296944 | -1 | italiano | 1873 | 1946 | M | M
Domenico Basile | Basile, Domenico  | 4530066 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giannotto Bastianelli | Bastianelli, Giannotto  | 6297694 | -1 | italiano | 1883 | 1927 | M | M
Charles Baudelaire | Baudelaire, Charles  | 727298 | 1800 | francese | 1821 | 1867 | M | M
Ambrogio Bazzero | Bazzero, Ambrogio  | 4050178 | 1800 | italiano | 1851 | 1882 | M | M
Giambattista Bazzoni | Bazzoni, Giambattista  | 1886533 | 1800 | italiano | 1803 | 1850 | M | M
Odoardo Beccari | Beccari, Odoardo  | 217746 | -1 | italiano | 1843 | 1920 | M | M
Antonella Beccaria | Beccaria, Antonella  | 4455158 | 1900 | italiana | 1973 |  | F | F
Cesare Beccaria | Beccaria, Cesare  | 18642 | 1700 | italiano | 1738 | 1794 | M | M
William Beckford | Beckford, William  | 301507 | 1700 | britannico | 1760 | 1844 | M | M
Ludwig van Beethoven | Beethoven, Ludwig van  | 15759 | 1800 | tedesco | 1770 | 1827 | M | M
Cristina Belgioioso | Belgioioso, Cristina  | 1483071 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giacomo Bellacchi | Bellacchi, Giacomo  | 23198 | 1800 | italiano | 1838 | 1924 | M | M
Angelo Bellani | Bellani, Angelo  | 5855251 | 1700 | italiano | 1776 | 1852 | M | M
Giuseppe Gioachino Belli | Belli, Giuseppe Gioachino  | 50708 | 1800 | italiano | 1791 | 1863 | M | M
Vincenzo Bellini | Bellini, Vincenzo  | 109726 | 1800 | italiano | 1801 | 1835 | M | M
Enrico Bellone | Bellone, Enrico  | 254172 | 1900 | italiano | 1938 | 2011 | M | M
Pietro Bembo | Bembo, Pietro  | 94739 | 1500 | italiano | 1470 | 1547 | M | M
Elia Benamozegh | Benamozegh, Elia  | 407310 | 1800 | italiano | 1823 | 1900 | M | M
Giovanni Berchet | Berchet, Giovanni  | 116018 | 1800 | italiano | 1783 | 1851 | M | M
Guglielmo Berchet | Berchet, Guglielmo  | 1569825 | 1800 | italiano | 1833 | 1913 | M | M
Alban Berg | Berg, Alban  | 62258 | -1 | austriaco | 1885 | 1935 | M | M
Hector Berlioz | Berlioz, Hector  | 219387 | 1800 | francese | 1803 | 1869 | M | M
Camillo Berneri | Berneri, Camillo  | 1911531 | 1900 | italiano | 1897 | 1937 | M | M
Giuseppe Berneri | Berneri, Giuseppe  | 770933 | 1600 | italiano | 1637 | 1701 | M | M
Francesco Berni | Berni, Francesco  | 785302 | 1500 | italiano | 1497 | 1535 | M | M
Vittorio Bersezio | Bersezio, Vittorio  | 622426 | 1800 | italiano | 1828 | 1900 | M | M
Cosimo Bertacchi | Bertacchi, Cosimo  | 5012452 | -1 | italiano | 1854 | 1945 | M | M
Giovanni Bertacchi | Bertacchi, Giovanni  | 548649 | 1800 | italiano | 1869 | 1942 | M | M
Domenico Berti | Berti, Domenico  | 760965 | 1800 | italiano | 1820 | 1897 | M | M
Giuseppe Bertini | Bertini, Giuseppe  | 2100447 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Brenno Bertoni | Bertoni, Brenno  | 1720015 | -1 | svizzero}} | 1860 | 1945 | M | M
Giulio Bertoni | Bertoni, Giulio  | 1683105 | -1 | italiano | 1878 | 1942 | M | M
Franz Berwald | Berwald, Franz  | 2010105 | 1800 | svedese | 1796 | 1868 | M | M
Mario Betti | Betti, Mario  | 878507 | -1 | italiano | 1875 | 1942 | M | M
Saverio Bettinelli | Bettinelli, Saverio  | 1408753 | 1700 | italiano | 1718 | 1808 | M | M
Guido Biagi | Biagi, Guido  | 6906057 | 1800 | italiano | 1855 | 1925 | M | M
Arturo Bianchi | Bianchi, Arturo  | 6027547 | 1900 | italiano | 1900 | -1 | M | M
Carlo Bianco | Bianco, Carlo  | 2463902 | 1900 | italiano | 1911 | 2010 | M | M
Giovanni Giuseppe Bianconi | Bianconi, Giovanni Giuseppe  | 6266210 | -1 | italiano | 1809 | 1878 | M | M
Bibbia | Bibbia  | 2933033 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Pasquale Binazzi | Binazzi, Pasquale  | 1400910 | 1900 | italiano | 1873 | 1944 | M | M
Carlo Bini | Bini, Carlo  | 2971704 | 1800 | italiano | 1806 | 1842 | M | M
Georges Bizet | Bizet, Georges  | 206290 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giulio Bizzozero | Bizzozero, Giulio  | 552276 | -1 | italiano | 1846 | 1901 | M | M
Luigi Blanch | Blanch, Luigi  | 2660015 | 1800 | italiano | 1784 | 1872 | M | M
Pietro Blaserna | Blaserna, Pietro  | 23338 | 1800 | italiano | 1836 | 1918 | M | M
Giovanni Boccaccio | Boccaccio, Giovanni  | 2952346 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Traiano Boccalini | Boccalini, Traiano  | 1272220 | 1600 | italiano | 1556 | 1613 | M | M
Gerolamo Boccardo | Boccardo, Gerolamo  | 1702048 | 1800 | italiano | 1829 | 1904 | M | M
Renzo Ildebrando Bocchi | Bocchi, Renzo Ildebrando  | 2938894 | 1900 | italiano | 1913 | 1944 | M | M
Matteo Maria Boiardo | Boiardo, Matteo Maria  | 712716 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
François-Adrien Boieldieu | Boieldieu, François-Adrien  | 1634330 | 1800 | francese | 1775 | 1834 | M | M
Giovanni Boine | Boine, Giovanni  | 48732 | 1900 | italiano | 1887 | 1917 | M | M
Arrigo Boito | Boito, Arrigo  | 2064556 | 1800 | italiano | 1842 | 1918 | M | M
Camillo Boito | Boito, Camillo  | 200278 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giorgio Bolza | Bolza, Giorgio  | 4977952 | 1800 | italiano | 1880 | 1945 | M | M
Francesco Augusto Bon | Bon, Francesco Augusto  | 1898038 | 1800 | italiano | 1788 | 1858 | M | M
Carlo Bonacini | Bonacini, Carlo  | 23350 | 1800 | italiano | 1867 | 1944 | M | M
Guidubaldo Bonarelli | Bonarelli, Guidubaldo  | 1949209 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Romualdo Bonfadini | Bonfadini, Romualdo  | 4485303 | 1800 | italiano | 1831 | 1899 | M | M
Ruggiero Bonghi | Bonghi, Ruggiero  | 217443 | 1800 | italiano | 1826 | 1895 | M | M
Giovanni Cosimo Bonomo | Bonomo, Giovanni Cosimo  | 2199857 | -1 | italiano | 1666 | 1696 | M | M
Armando Borghi | Borghi, Armando  | 1199661 | 1900 | italiano | 1882 | 1968 | M | M
Giuseppe Borghi | Borghi, Giuseppe  | 3940321 | -1 | italiano | 1790 | 1847 | M | M
Aleksandr Porfir'evič Borodin | Borodin, Aleksandr Porfir'evič  | 410127 | 1800 | russo | 1833 | 1887 | M | M
Ruggiero Giuseppe Boscovich | Boscovich, Ruggiero Giuseppe  | 6112335 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Ferdinando Bosio | Bosio, Ferdinando  | 5249945 | 1800 | italiano | 1824 | 1879 | M | M
Carlo Botta | Botta, Carlo  | 190394 | 1800 | italiano | 1766 | 1837 | M | M
Filippo Bottazzi | Bottazzi, Filippo  | 2909633 | -1 | italiano | 1867 | 1941 | M | M
Édouard Bourdet | Bourdet, Édouard  | 1716624 | 1900 | francese | 1887 | 1945 | M | M
Jean Baptiste Bouvier | Bouvier, Jean Baptiste  | 3857833 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giovanni Bovio | Bovio, Giovanni  | 870556 | 1800 | italiano | 1837 | 1903 | M | M
Libero Bovio | Bovio, Libero  | 481733 | 1900 | italiano | 1883 | 1942 | M | M
Ernesto Bozzano | Bozzano, Ernesto  | 347866 | -1 | italiano | 1862 | 1943 | M | M
Umberto Bozzini | Bozzini, Umberto  | 1638263 | 1900 | italiano | 1876 | 1921 | M | M
Roberto Bracco | Bracco, Roberto  | 1203765 | 1800 | italiano | 1861 | 1943 | M | M
Johannes Brahms | Brahms, Johannes  | 19888 | 1800 | tedesco | 1833 | 1897 | M | M
Gianni Brera | Brera, Gianni  | 298657 | 1900 | italiano | 1919 | 1992 | M | M
Giovanni Battista Brocchi | Brocchi, Giovanni Battista  | 2936709 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Angelo Brofferio | Brofferio, Angelo  | 839329 | 1800 | italiano | 1802 | 1866 | M | M
Charlotte Brontë | Brontë, Charlotte  | 313937 | 1800 | inglese | 1816 | 1855 | F | F
Anton Bruckner | Bruckner, Anton  | 2407662 | -1 | austriaco | 1824 | 1896 | M | M
Rita Brunetti | Brunetti, Rita  | 2214333 | 1900 | italiana | 1890 | 1942 | F | F
Giuseppe Bruni | Bruni, Giuseppe  | 5731474 | 1900 | italiano | 1873 | 1946 | M | M
Leonardo Bruni | Bruni, Leonardo  | 286787 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giordano Bruno | Bruno, Giordano  | 1682878 | 1500 | italiano | 1548 | 1600 | M | M
Girolamo Brusoni | Brusoni, Girolamo  | 648129 | 1600 | italiano | 1614 | dopo il [[1686]] | M | M
Ernesto Buonaiuti | Buonaiuti, Ernesto  | 438388 | 1900 | italiano | 1881 | 1946 | M | M
Michelangelo Buonarroti | Buonarroti, Michelangelo  | 2234647 | 1400 | italiano | 1475 | 1564 | M | M
Bruno Buozzi | Buozzi, Bruno  | 286379 | 1900 | italiano | 1881 | 1944 | M | M
Andrew Burnaby | Burnaby, Andrew  | 3072578 | -1 | britannico | 1732 | 1812 | M | M
Alessandra Buschi | Buschi, Alessandra  | 4570164 | 1900 | italiana | 1963 |  | F | F
Ferruccio Busoni | Busoni, Ferruccio  | 37508 | 1800 | italiano | 1866 | 1924 | M | M
Enrico Annibale Butti | Butti, Enrico Annibale  | 4058671 | 1800 | italiano | 1868 | 1912 | M | M
George Gordon Byron | Byron, George Gordon  | 24142 | 1800 | inglese | 1788 | 1824 | M | M
Antonio Caccianiga | Caccianiga, Antonio  | 3413454 | 1800 | italiano | 1823 | 1909 | M | M
Niccolò Cacciatore | Cacciatore, Niccolò  | 565371 | -1 | italiano | 1770 | 1841 | M | M
Giulio Caccini | Caccini, Giulio  | 2171 | 1500 | italiano | [[1550]] circa | 1618 | M | M
Carlo Cafiero | Cafiero, Carlo  | 24474 | 1800 | italiano | 1846 | 1892 | M | M
Achille Giovanni Cagna | Cagna, Achille Giovanni  | 674855 | 1800 | italiano | 1847 | 1931 | M | M
Manfredo Cagni | Cagni, Manfredo  | 6069409 | 1800 | italiano | 1834 | 1907 | M | M
Enrico Calandra | Calandra, Enrico  | 5037199 | 1800 | italiano | 1877 | 1946 | M | M
Vincenzo Calestani | Calestani, Vincenzo  | 3272844 | 1600 | italiano | 1589 | dopo il 1617 | M | M
Guido Calza | Calza, Guido  | 3558467 | 1900 | italiano | 1888 | 1946 | M | M
Giulio Camillo | Camillo, Giulio  | 2714705 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Mario Camis | Camis, Mario  | 3014766 | 1900 | italiano | 1878 | 1946 | M | M
Salvatore Cammarano | Cammarano, Salvatore  | 452698 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Dino Campana | Campana, Dino  | 47247 | 1900 | italiano | 1885 | 1932 | M | M
Tommaso Campanella | Campanella, Tommaso  | 79881 | 1600 | italiano | 1568 | 1639 | M | M
Luigi Campolonghi | Campolonghi, Luigi  | 870517 | 1900 | italiano | 1876 | 1944 | M | M
Giovanni Canestrini | Canestrini, Giovanni  | 6573859 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Luigi Canina | Canina, Luigi  | 82456 | 1800 | italiano | 1795 | 1856 | M | M
Christian Cannabich | Cannabich, Christian  | 2610778 | 1700 | tedesco | 1731 | 1798 | M | M
Stanislao Cannizzaro | Cannizzaro, Stanislao  | 22934 | 1800 | italiano | 1826 | 1910 | M | M
Alberto Cantoni | Cantoni, Alberto  | 666447 | 1800 | italiano | 1841 | 1904 | M | M
Giovanni Cantoni | Cantoni, Giovanni  | 565911 | 1900 | italiano | 1938 |  | M | M
Cesare Cantù | Cantù, Cesare  | 21603 | 1800 | italiano | 1804 | 1895 | M | M
Bartolomeo Capasso | Capasso, Bartolomeo  | 1760065 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Galeazzo Flavio Capella | Capella, Galeazzo Flavio  | 870331 | 1400 | italiano | 1487 | 1537 | M | M
Gino Capponi | Capponi, Gino  | 653026 | 1800 | italiano | 1792 | 1876 | M | M
Domenico Capranica | Capranica, Domenico  | 482700 | 1400 | italiano | 1400 | 1458 | M | M
Luigi Capuana | Capuana, Luigi  | 97828 | 1800 | italiano | 1839 | 1915 | M | M
Enrichetta Caracciolo | Caracciolo, Enrichetta  | 2593649 | 1800 | italiana | 1821 | 1901 | F | F
Enrichetta Carafa Capecelatro | Carafa Capecelatro, Enrichetta  | 4037906 | 1800 | italiana | 1863 | 1941 | F | F
Giulio Carcano | Carcano, Giulio  | 1691675 | 1800 | italiano | 1812 | 1884 | M | M
Girolamo Cardano | Cardano, Girolamo  | 5944271 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giosuè Carducci | Carducci, Giosuè  | 2070319 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Thomas Carlyle | Carlyle, Thomas  | 530010 | 1800 | scozzese | 1795 | 1881 | M | M
Carmina Burana | Carmina Burana  | 228625 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Emanuel Carnevali | Carnevali, Emanuel  | 2108689 | 1900 | italiano | 1897 | 1942 | M | M
Annibale Caro | Caro, Annibale  | 279637 | 1500 | italiano | 1507 | 1566 | M | M
Guido Carocci | Carocci, Guido  | 2085520 | 1800 | italiano | 1851 | 1916 | M | M
Edward Carpenter | Carpenter, Edward  | 229745 | 1800 | inglese | 1844 | 1929 | M | M
Giacomo Casanova | Casanova, Giacomo  | 15788 | 1700 | italiano | 1725 | 1798 | M | M
Giovanni Domenico Cassini | Cassini, Giovanni Domenico  | 19593 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Benedetto Castelli | Castelli, Benedetto  | 618564 | 1600 | italiano | 1578 | 1643 | M | M
David Castelli | Castelli, David  | 2974984 | 1800 | italiano | 1836 | 1901 | M | M
Enrico Castelnuovo | Castelnuovo, Enrico  | 2330284 | -1 | italiano | 1929 | 2014 | M | M
Giovanni Battista Casti | Casti, Giovanni Battista  | 750864 | 1700 | italiano | 1724 | 1803 | M | M
Baldassarre Castiglione | Castiglione, Baldassarre  | 282634 | 1500 | italiano | 1478 | 1529 | M | M
Ettore Castiglioni | Castiglioni, Ettore  | 2035708 | 1900 | italiano | 1908 | 1944 | M | M
Alfredo Catalani | Catalani, Alfredo  | 1786526 | 1800 | italiano | 1854 | 1893 | M | M
Willa Cather | Cather, Willa  | 131658 | 1900 | statunitense | 1873 | 1947 | F | F
Carlo Cattaneo | Cattaneo, Carlo  | 107875 | 1800 | italiano | 1801 | 1869 | M | M
Giuseppe Cava | Cava, Giuseppe  | 1195542 | 1900 | italiano | 1870 | 1940 | M | M
Guido Cavalcanti | Cavalcanti, Guido  | 712354 | 1200 | italiano | intorno al [[1258]] | 1300 | M | M
Felice Cavallotti | Cavallotti, Felice  | 306003 | 1800 | italiano | 1842 | 1898 | M | M
Ciro Caversazzi | Caversazzi, Ciro  | 3446617 | 1800 | italiano | 1865 | 1947 | M | M
Enrico Caviglia | Caviglia, Enrico  | 571200 | 1800 | italiano | 1862 | 1945 | M | M
Benvenuto Cellini | Cellini, Benvenuto  | 709231 | 1500 | italiano | 1500 | 1571 | M | M
Giovanni Celoria | Celoria, Giovanni  | 23559 | 1900 | italiano | 1842 | 1920 | M | M
Giovanni Cena | Cena, Giovanni  | 1571530 | 1800 | italiano | 1870 | 1917 | M | M
Cennino Cennini | Cennini, Cennino  | 1844096 | 1300 | italiano | 1370 | 1427 | M | M
Melchiorre Cesarotti | Cesarotti, Melchiorre  | 499858 | 1700 | italiano | 1730 | 1808 | M | M
Federico Cesi | Cesi, Federico  | 2023314 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Emmanuel Chabrier | Chabrier, Emmanuel  | 820716 | 1800 | francese | 1841 | 1894 | M | M
Chanson de Roland | Chanson de Roland  | 1987946 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Ruperto Chapì | Chapì, Ruperto  | 4656215 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Marc-Antoine Charpentier | Charpentier, Marc-Antoine  | 88270 | 1600 | francese | [[1634]] circa | 1704 | M | M
Gaetano Carlo Chelli | Chelli, Gaetano Carlo  | 3684011 | 1800 | italiano | 1847 | 1904 | M | M
Luigi Cherubini | Cherubini, Luigi  | 200491 | 1700 | italiano | 1760 | 1842 | M | M
Gilbert Keith Chesterton | Chesterton, Gilbert Keith  | 280263 | 1900 | inglese | 1874 | 1936 | M | M
Gabriello Chiabrera | Chiabrera, Gabriello  | 476783 | 1600 | italiano | 1552 | 1638 | M | M
Luigi Chiarelli | Chiarelli, Luigi  | 777146 | 1900 | italiano | 1880 | 1947 | M | M
Giuseppe Chiarini | Chiarini, Giuseppe  | 1237285 | 1800 | italiano | 1833 | 1908 | M | M
Pietro Chiesa | Chiesa, Pietro  | 5455739 | 1800 | italiano | 1858 | 1915 | M | M
Agostino Chigi | Chigi, Agostino  | 793793 | -1 | italiano | 1466 | 1520 | M | M
Fryderyk Franciszek Chopin | Chopin, Fryderyk Franciszek  | 52933 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Sigurd Christiansen | Christiansen, Sigurd  | 1678287 | 1800 | norvegese | 1891 | 1947 | M | M
Emanuele Ciaceri | Ciaceri, Emanuele  | 3895347 | 1900 | italiano | 1869 | 1944 | M | M
Giacomo Ciamician | Ciamician, Giacomo  | 3017159 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Domenico Ciampoli | Ciampoli, Domenico  | 2291973 | 1800 | italiano | 1852 | 1929 | M | M
Galeazzo Ciano | Ciano, Galeazzo  | 21581 | 1900 | italiano | 1903 | 1944 | M | M
Marcus Tullius Cicero | Cicero, Marcus Tullius  | 6452816 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giorgio Cicogna | Cicogna, Giorgio  | 2018041 | 1900 | italiano | 1899 | 1932 | M | M
Antonio Cifra | Cifra, Antonio  | 1613035 | 1500 | italiano | [[1584]] circa | 1629 | M | M
Domenico Cimarosa | Cimarosa, Domenico  | 69718 | 1700 | italiano | 1749 | 1801 | M | M
Delfino Cinelli | Cinelli, Delfino  | 4346484 | 1900 | italiano | 1889 | 1942 | M | M
