Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Amilcare Cipriani | Cipriani, Amilcare  | 208477 | -1 | italiano | 1843 | 1918 | M | M
Giovanni Cittadella | Cittadella, Giovanni  | 1665192 | 1800 | italiano | 1806 | 1884 | M | M
Tommaso Claps | Claps, Tommaso  | 2357156 | 1800 | italiano | 1871 | 1945 | M | M
Muzio Clementi | Clementi, Muzio  | 220102 | 1700 | italiano | 1752 | 1832 | M | M
Club alpino italiano | Club alpino italiano  | 4510660 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Igino Cocchi | Cocchi, Igino  | 3544701 | 1800 | italiano | 1827 | 1913 | M | M
Mariannina Coffa Caruso | Coffa Caruso, Mariannina  | 6848659 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Napoleone Colajanni | Colajanni, Napoleone  | 608523 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Samuel Taylor Coleridge | Coleridge, Samuel Taylor  | 213822 | 1700 | inglese | 1772 | 1834 | M | M
Pandolfo Collenuccio | Collenuccio, Pandolfo  | 1329532 | 1400 | italiano | 1444 | 1504 | M | M
Pietro Colletta | Colletta, Pietro  | 19250 | 1800 | italiano | 1775 | 1831 | M | M
Fernando Colombo | Colombo, Fernando  | 1150380 | 1400 | spagnolo | 1488 | 1539 | M | M
Francesco Colonna | Colonna, Francesco  | 103776 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Vittoria Colonna | Colonna, Vittoria  | 137929 | 1500 | italiana | 1490 | 1547 | F | F
Eugenio Colorni | Colorni, Eugenio  | 312832 | 1900 | italiano | 1909 | 1944 | M | M
Dino Compagni | Compagni, Dino  | 118545 | 1300 | italiano | [[1255]] circa | 1324 | M | M
Domenico Comparetti | Comparetti, Domenico  | 1480417 | 1800 | italiano | 1835 | 1927 | M | M
Giuseppe Conti | Conti, Giuseppe  | 2998071 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giovanni Coperario | Coperario, Giovanni  | 3416554 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Corano | Corano  | 2850528 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Orso Mario Corbino | Corbino, Orso Mario  | 339912 | 1800 | italiano | 1876 | 1937 | M | M
Arcangelo Corelli | Corelli, Arcangelo  | 98069 | 1600 | italiano | 1653 | 1713 | M | M
Luigi Cornaro | Cornaro, Luigi  | 3782172 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Peter Cornelius | Cornelius, Peter  | 295658 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giovanni Maria Cornoldi | Cornoldi, Giovanni Maria  | 1905914 | 1800 | italiano | 1822 | 1892 | M | M
Enrico Corradini | Corradini, Enrico  | 266294 | 1900 | italiano | 1865 | 1931 | M | M
Pietro Cossa | Cossa, Pietro  | 2909780 | 1800 | italiano | 1830 | 1881 | M | M
Andrea Costa | Costa, Andrea  | 708054 | 1800 | italiano | 1851 | 1910 | M | M
Paolo Costa | Costa, Paolo  | 901741 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Francis Marion Crawford | Crawford, Francis Marion  | 28558 | 1800 | statunitense | 1854 | 1909 | M | M
Francesco Crispi | Crispi, Francesco  | 47263 | 1800 | italiano | 1818 | 1901 | M | M
Giulio Cesare Croce | Croce, Giulio Cesare  | 105974 | 1500 | italiano | 1550 | 1609 | M | M
Cronica | Cronica  | 652956 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Vincenzo Cuoco | Cuoco, Vincenzo  | 201051 | 1800 | italiano | 1770 | 1823 | M | M
Eugenio Curiel | Curiel, Eugenio  | 1977335 | 1900 | italiano | 1912 | 1945 | M | M
Antonio Curti | Curti, Antonio  | 3449599 | 1800 | italiano | 1858 | 1945 | M | M
Francesco Cusani | Cusani, Francesco  | 6601205 | 1900 | italiano | 1802 | 1879 | M | M
Pëtr Il'ič Čajkovskij | Čajkovskij, Pëtr Il'ič  | 104818 | -1 | russo | 1840 | 1893 | M | M
Nikolaj Gavrilovič Černyševskij | Černyševskij, Nikolaj Gavrilovič  | 282035 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Pelagio D'Afro | D'Afro, Pelagio  | 2423589 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Lucio D'Ambra | D'Ambra, Lucio  | 2951440 | 1900 | italiano | 1880 | 1939 | M | M
Alessandro D'Ancona | D'Ancona, Alessandro  | 403397 | 1800 | italiano | 1835 | 1914 | M | M
Virgilia D'Andrea | D'Andrea, Virgilia  | 2533356 | -1 | italiana | 1888 | 1933 | F | F
Gabriele D'Annunzio | D'Annunzio, Gabriele  | 2404658 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giuseppe D'Emilio | D'Emilio, Giuseppe  | 6887244 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Jean-François Dandrieu | Dandrieu, Jean-François  | 3136805 | -1 | francese | 1682 | 1738 | M | M
Vincenzo Danti | Danti, Vincenzo  | 894078 | 1500 | italiano | 1530 | 1576 | M | M
Lorenzo Da Ponte | Da Ponte, Lorenzo  | 72703 | 1700 | italiano | 1749 | 1838 | M | M
Luigi Da Porto | Da Porto, Luigi  | 1144196 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Charles Darwin | Darwin, Charles  | 2433891 | 1800 | britannico | 1809 | 1882 | M | M
Erasmus Darwin | Darwin, Erasmus  | 294544 | -1 | britannico | 1731 | 1802 | M | M
Alphonse Daudet | Daudet, Alphonse  | 747829 | 1800 | francese | 1840 | 1897 | M | M
Edmondo De Amicis | De Amicis, Edmondo  | 1721 | 1800 | italiano | 1846 | 1908 | M | M
Augusto De Angelis | De Angelis, Augusto  | 1705497 | 1900 | italiano | 1888 | 1944 | M | M
Abele De Blasio | De Blasio, Abele  | 1687461 | 1800 | italiano | 1858 | 1945 | M | M
Filippo De Boni | De Boni, Filippo  | 3495611 | 1800 | italiano | 1816 | 1870 | M | M
Lauro De Bosis | De Bosis, Lauro  | 233613 | 1900 | italiano | 1901 | 1931 | M | M
Claude Debussy | Debussy, Claude  | 80151 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Raffaele De Cesare | De Cesare, Raffaele  | 6663098 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Filippo De Filippi | De Filippi, Filippo  | 1704170 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Stefano De Franchi | De Franchi, Stefano  | 2427966 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giovanni De Gamerra | De Gamerra, Giovanni  | 1150337 | 1700 | italiano | 1742 | 1803 | M | M
Achille De Giovanni | De Giovanni, Achille  | 862157 | -1 | italiano | 1838 | 1916 | M | M
Angelo De Gubernatis | De Gubernatis, Angelo  | 467179 | 1800 | italiano | 1840 | 1913 | M | M
Grazia Deledda | Deledda, Grazia  | 1341459 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Frederick Delius | Delius, Frederick  | 240374 | -1 | inglese | 1862 | 1934 | M | M
Giovanni Della Casa | Della Casa, Giovanni  | 178155 | 1500 | italiano | 1503 | 1556 | M | M
Alessandro Della Seta | Della Seta, Alessandro  | 2140243 | 1900 | italiano | 1879 | 1944 | M | M
Federico Della Valle | Della Valle, Federico  | 1272269 | 1500 | italiano | [[1560]] circa | 1628 | M | M
Isidoro Del Lungo | Del Lungo, Isidoro  | 97053 | 1800 | italiano | 1841 | 1927 | M | M
Federico Delpino | Delpino, Federico  | 2691713 | 1800 | italiano | 1833 | 1905 | M | M
Emilio De Marchi | De Marchi, Emilio  | 2733391 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Olinto De Pretto | De Pretto, Olinto  | 298756 | 1800 | italiano | 1857 | 1921 | M | M
Richard Dering | Dering, Richard  | 3420777 | 1600 | inglese | [[1580]] circa | 1630 | M | M
Federico De Roberto | De Roberto, Federico  | 99157 | 1800 | italiano | 1861 | 1927 | M | M
Francesco De Sanctis | De Sanctis, Francesco  | 152802 | 1800 | italiano | 1817 | 1883 | M | M
Luigi Desanctis | Desanctis, Luigi  | 1839549 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Jean Baptiste Félix Descuret | Descuret, Jean Baptiste Félix  | 3698341 | 1800 | francese | 1795 | 1871 | M | M
Giovanni Evangelista Di Blasi | Di Blasi, Giovanni Evangelista  | 3976286 | 1700 | italiano | 1720 | 1812 | M | M
Charles Dickens | Dickens, Charles  | 18159 | 1800 | britannico | 1812 | 1870 | M | M
Denis Diderot | Diderot, Denis  | 29621 | 1700 | francese | 1713 | 1784 | M | M
Salvatore Di Giacomo | Di Giacomo, Salvatore  | 2296710 | 1900 | italiano | 1860 | 1934 | M | M
Alessio Di Giovanni | Di Giovanni, Alessio  | 489332 | 1800 | italiano | 1872 | 1946 | M | M
Lodovico Dolce | Dolce, Lodovico  | 513450 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Lodovico Domenichi | Domenichi, Lodovico  | 2211409 | 1500 | italiano | 1515 | 1564 | M | M
Giovanni Battista Donati | Donati, Giovanni Battista  | 23692 | 1800 | italiano | 1826 | 1873 | M | M
Federico Donaver | Donaver, Federico  | 1984669 | 1800 | italiano | 1861 | 1915 | M | M
Anton Francesco Doni | Doni, Anton Francesco  | 1656208 | 1500 | italiano | 1513 | 1574 | M | M
Gaetano Donizetti | Donizetti, Gaetano  | 2052 | 1800 | italiano | 1797 | 1848 | M | M
Giulio Douhet | Douhet, Giulio  | 518360 | -1 | italiano | 1869 | 1930 | M | M
Hans Driesch | Driesch, Hans  | 384768 | 1900 | tedesco | 1867 | 1941 | M | M
Paola Drigo | Drigo, Paola  | 483106 | 1900 | italiana | 1876 | 1938 | F | F
Pericle Ducati | Ducati, Pericle  | 489099 | 1900 | italiano | 1880 | 1944 | M | M
Paul Dukas | Dukas, Paul  | 413065 | -1 | francese | 1865 | 1935 | M | M
Pierre Du Mage | Du Mage, Pierre  | 6481677 | -1 | francese | 1674 | 1751 | M | M
Henry Dunant | Dunant, Henry  | 124657 | -1 | svizzero | 1828 | 1910 | M | M
Antonín Dvořák | Dvořák, Antonín  | 266104 | -1 | ceco | 1841 | 1904 | M | M
Gian Dàuli | Dàuli, Gian  | 3961315 | XX | italiano | 1884 | 1945 | M | M
Umberto Eco | Eco, Umberto  | 4346 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Electronic Frontier Foundation | Electronic Frontier Foundation  | 1456378 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Edward William Elgar | Elgar, Edward William  | 6811537 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Augusto Elia | Elia, Augusto  | 705815 | 1800 | italiano | 1829 | 1919 | M | M
Pio Emanuelli | Emanuelli, Pio  | 2577577 | 1900 | italiano | 1888 | 1946 | M | M
Friedrich Engels | Engels, Friedrich  | 88158 | 1800 | tedesco | 1820 | 1895 | M | M
Federigo Enriques | Enriques, Federigo  | 23698 | 1900 | italiano | 1871 | 1946 | M | M
Luigi Fabbri | Fabbri, Luigi  | 1873492 | 1900 | italiano | 1877 | 1935 | M | M
Giovanni Faldella | Faldella, Giovanni  | 2005039 | 1800 | italiano | 1846 | 1928 | M | M
Pietro Fanfani | Fanfani, Pietro  | 1430925 | 1800 | italiano | 1815 | 1879 | M | M
Horst Fantazzini | Fantazzini, Horst  | 3065729 | 1900 | italiano | 1939 | 2001 | M | M
Giovanni Fantoni | Fantoni, Giovanni  | 662847 | 1700 | italiano | 1755 | 1807 | M | M
Salvatore Farina | Farina, Salvatore  | 1332414 | 1800 | italiano | 1846 | 1918 | M | M
Giles Farnaby | Farnaby, Giles  | 1990577 | 1500 | inglese | 1563 | 1640 | M | M
Gabriel Fauré | Fauré, Gabriel  | 217309 | XIX | francese | 1845 | 1924 | M | M
Antonio Favaro | Favaro, Antonio  | 23712 | 1800 | italiano | 1847 | 1922 | M | M
Tommaso Fazello | Fazello, Tommaso  | 1317955 | 1500 | italiano | 1498 | 1570 | M | M
Camillo Federici | Federici, Camillo  | 1372732 | 1700 | italiano | 1749 | 1802 | M | M
Alfonso Ferrabosco | Ferrabosco, Alfonso  | 6793530 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Carlotta Ferrari | Ferrari, Carlotta  | 2693396 | 1800 | italiana | 1830 | 1907 | F | F
Giuseppe Ferrari | Ferrari, Giuseppe  | 3862505 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Paolo Ferrari | Ferrari, Paolo  | 1721169 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Pietro Ferrari | Ferrari, Pietro  | 4395113 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Severino Ferrari | Ferrari, Severino  | 2212340 | 1800 | italiano | 1856 | 1905 | M | M
Francisco Ferrer Guardia | Ferrer Guardia, Francisco  | 24476 | -1 | spagnolo | 1859 | 1909 | M | M
Guglielmo Ferrero | Ferrero, Guglielmo  | 742361 | 1800 | italiano | 1871 | 1942 | M | M
Jacopo Ferretti | Ferretti, Jacopo  | 1328129 | 1800 | italiano | 1784 | 1852 | M | M
Dina Ferri | Ferri, Dina  | 1606226 | 1900 | italiana | 1908 | 1930 | F | F
Enrico Ferri | Ferri, Enrico  | 1143188 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Luca Ferrieri | Ferrieri, Luca  | 4822291 | -1 | italiano | 1953 |  | M | M
Zdeněk Fibich | Fibich, Zdeněk  | 1253465 | -1 | ceco | 1850 | 1900 | M | M
Vera Figner | Figner, Vera  | 1166885 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Bruno Filippi | Filippi, Bruno  | 2688748 | 1900 | italiano | 1900 | 1919 | M | M
