Giovanni Boine | Boine, Giovanni  | 48732 | 1900 | italiano | 1887 | 1917 | M | M|poeta|scrittore
Arrigo Boito | Boito, Arrigo  | 2064556 | 1800 | italiano | 1842 | 1918 | M | M|letterato|librettista
Giorgio Bolza | Bolza, Giorgio  | 4977952 | 1800 | italiano | 1880 | 1945 | M | M|commediografo|poeta
Francesco Augusto Bon | Bon, Francesco Augusto  | 1898038 | 1800 | italiano | 1788 | 1858 | M | M|drammaturgo|non trovata
Carlo Bonacini | Bonacini, Carlo  | 23350 | 1800 | italiano | 1867 | 1944 | M | M|matematico|fisico
Romualdo Bonfadini | Bonfadini, Romualdo  | 4485303 | 1800 | italiano | 1831 | 1899 | M | M|giornalista|magistrato
Ruggiero Bonghi | Bonghi, Ruggiero  | 217443 | 1800 | italiano | 1826 | 1895 | M | M|filologo|politico
Armando Borghi | Borghi, Armando  | 1199661 | 1900 | italiano | 1882 | 1968 | M | M|politico|anarchico
Ferdinando Bosio | Bosio, Ferdinando  | 5249945 | 1800 | italiano | 1824 | 1879 | M | M|religioso|insegnante
Carlo Botta | Botta, Carlo  | 190394 | 1800 | italiano | 1766 | 1837 | M | M|storico|politico
Giovanni Bovio | Bovio, Giovanni  | 870556 | 1800 | italiano | 1837 | 1903 | M | M|filosofo|politico
Libero Bovio | Bovio, Libero  | 481733 | 1900 | italiano | 1883 | 1942 | M | M|poeta|scrittore
Umberto Bozzini | Bozzini, Umberto  | 1638263 | 1900 | italiano | 1876 | 1921 | M | M|avvocato|poeta
Roberto Bracco | Bracco, Roberto  | 1203765 | 1800 | italiano | 1861 | 1943 | M | M|giornalista|scrittore
Gianni Brera | Brera, Gianni  | 298657 | 1900 | italiano | 1919 | 1992 | M | M|giornalista|scrittore
Angelo Brofferio | Brofferio, Angelo  | 839329 | 1800 | italiano | 1802 | 1866 | M | M|poeta|politico
Rita Brunetti | Brunetti, Rita  | 2214333 | 1900 | italiana | 1890 | 1942 | F | F|fisica|non trovata
Giuseppe Bruni | Bruni, Giuseppe  | 5731474 | 1900 | italiano | 1873 | 1946 | M | M|chimico|docente
Ernesto Buonaiuti | Buonaiuti, Ernesto  | 438388 | 1900 | italiano | 1881 | 1946 | M | M|presbitero|storico
Bruno Buozzi | Buozzi, Bruno  | 286379 | 1900 | italiano | 1881 | 1944 | M | M|sindacalista|politico
Alessandra Buschi | Buschi, Alessandra  | 4570164 | 1900 | italiana | 1963 |  | F | F|scrittrice|poeta
Ferruccio Busoni | Busoni, Ferruccio  | 37508 | 1800 | italiano | 1866 | 1924 | M | M|compositore|pianista
Enrico Annibale Butti | Butti, Enrico Annibale  | 4058671 | 1800 | italiano | 1868 | 1912 | M | M|scrittore|drammaturgo
Antonio Caccianiga | Caccianiga, Antonio  | 3413454 | 1800 | italiano | 1823 | 1909 | M | M|politico|patriota
Carlo Cafiero | Cafiero, Carlo  | 24474 | 1800 | italiano | 1846 | 1892 | M | M|anarchico|non trovata
Achille Giovanni Cagna | Cagna, Achille Giovanni  | 674855 | 1800 | italiano | 1847 | 1931 | M | M|scrittore|non trovata
Manfredo Cagni | Cagni, Manfredo  | 6069409 | 1800 | italiano | 1834 | 1907 | M | M|generale|scrittore
Enrico Calandra | Calandra, Enrico  | 5037199 | 1800 | italiano | 1877 | 1946 | M | M|critico d'arte|storico dell'arte
Guido Calza | Calza, Guido  | 3558467 | 1900 | italiano | 1888 | 1946 | M | M|archeologo|non trovata
Mario Camis | Camis, Mario  | 3014766 | 1900 | italiano | 1878 | 1946 | M | M|fisiologo|presbitero
Dino Campana | Campana, Dino  | 47247 | 1900 | italiano | 1885 | 1932 | M | M|poeta|non trovata
Luigi Campolonghi | Campolonghi, Luigi  | 870517 | 1900 | italiano | 1876 | 1944 | M | M|giornalista|scrittore
Luigi Canina | Canina, Luigi  | 82456 | 1800 | italiano | 1795 | 1856 | M | M|archeologo|architetto
Stanislao Cannizzaro | Cannizzaro, Stanislao  | 22934 | 1800 | italiano | 1826 | 1910 | M | M|chimico|politico
Alberto Cantoni | Cantoni, Alberto  | 666447 | 1800 | italiano | 1841 | 1904 | M | M|scrittore|non trovata
Giovanni Cantoni | Cantoni, Giovanni  | 565911 | 1900 | italiano | 1938 |  | M | M|scrittore|non trovata
Cesare Cantù | Cantù, Cesare  | 21603 | 1800 | italiano | 1804 | 1895 | M | M|storico|letterato
Gino Capponi | Capponi, Gino  | 653026 | 1800 | italiano | 1792 | 1876 | M | M|politico|scrittore
Luigi Capuana | Capuana, Luigi  | 97828 | 1800 | italiano | 1839 | 1915 | M | M|scrittore|critico letterario
Enrichetta Caracciolo | Caracciolo, Enrichetta  | 2593649 | 1800 | italiana | 1821 | 1901 | F | F|patriota|scrittrice
Enrichetta Carafa Capecelatro | Carafa Capecelatro, Enrichetta  | 4037906 | 1800 | italiana | 1863 | 1941 | F | F|poetessa|scrittrice
Giulio Carcano | Carcano, Giulio  | 1691675 | 1800 | italiano | 1812 | 1884 | M | M|politico|scrittore
Emanuel Carnevali | Carnevali, Emanuel  | 2108689 | 1900 | italiano | 1897 | 1942 | M | M|poeta|scrittore
Guido Carocci | Carocci, Guido  | 2085520 | 1800 | italiano | 1851 | 1916 | M | M|storico|non trovata
David Castelli | Castelli, David  | 2974984 | 1800 | italiano | 1836 | 1901 | M | M|storico|biblista
Ettore Castiglioni | Castiglioni, Ettore  | 2035708 | 1900 | italiano | 1908 | 1944 | M | M|alpinista|non trovata
Alfredo Catalani | Catalani, Alfredo  | 1786526 | 1800 | italiano | 1854 | 1893 | M | M|compositore|non trovata
Carlo Cattaneo | Cattaneo, Carlo  | 107875 | 1800 | italiano | 1801 | 1869 | M | M|patriota|filosofo
Giuseppe Cava | Cava, Giuseppe  | 1195542 | 1900 | italiano | 1870 | 1940 | M | M|poeta|scrittore
Felice Cavallotti | Cavallotti, Felice  | 306003 | 1800 | italiano | 1842 | 1898 | M | M|politico|poeta
Ciro Caversazzi | Caversazzi, Ciro  | 3446617 | 1800 | italiano | 1865 | 1947 | M | M|letterato|non trovata
Enrico Caviglia | Caviglia, Enrico  | 571200 | 1800 | italiano | 1862 | 1945 | M | M|generale|politico
Giovanni Celoria | Celoria, Giovanni  | 23559 | 1900 | italiano | 1842 | 1920 | M | M|astronomo|politico
Giovanni Cena | Cena, Giovanni  | 1571530 | 1800 | italiano | 1870 | 1917 | M | M|poeta|scrittore
Gaetano Carlo Chelli | Chelli, Gaetano Carlo  | 3684011 | 1800 | italiano | 1847 | 1904 | M | M|romanziere|non trovata
